item_id	category	r_complement	r_substitute
1	0	[176, 1595, 5940, 6212, 5866, 285, 383, 6077, 397, 193, 320, 7623, 3562, 5122, 4325, 4006, 385, 5985, 2720, 431, 1502, 7624, 3845, 6211]	[4006, 2212, 6077, 6211, 5985, 193, 5866]
2	0	[5045, 1698, 4599, 994, 4751, 161, 2120, 2280, 824, 825, 5681, 5470, 4251, 826, 827, 3895, 5818, 1056, 124, 8043, 4916, 7277, 3690, 4033, 91, 3691, 7037, 5469, 212, 4017, 4016, 5438, 1921, 120, 2488, 823]	[1599, 5045, 825, 4599, 8043, 826, 827, 994, 4751, 2120, 823, 2953, 5818, 2280, 91, 824]
3	20	[2535, 4697, 2792, 2065, 7348, 160, 140, 2130]	[16, 108, 5630, 4383]
4	0	[7295, 5539, 1990, 7047, 861, 3864, 4669, 8205, 7072, 4983, 8277, 7666, 6620, 7836, 1688]	[7047, 4231, 4669]
5	0	[360, 681, 348, 6641, 361, 368, 4113, 665, 7607, 356, 364, 1154, 372, 351, 374, 349, 1882, 675, 4639, 479, 1682, 366, 350, 471, 359, 5398, 354, 484, 367, 4237, 363, 353, 357, 358, 352, 7300, 347]	[7607, 366, 367, 350, 357, 356, 360, 359, 351, 349, 353, 348, 354, 361, 358, 352, 347]
6	0	[4]	[4260, 4804, 4]
7	0	[8296, 7836, 7571, 5788]	[]
8	0	[3080, 15, 3079]	[2069, 15, 7747, 3079, 7748, 3080, 3231]
10	13	[8165, 3815, 3430, 5315, 8330, 2210, 4759, 5484, 6995, 5811, 1617, 384, 3777, 2363, 2192, 3934]	[3544, 8165, 3815, 2363, 2210, 4759, 5484, 6995, 5811, 1617, 384, 3934]
9	0	[7987, 1523, 3272, 5410, 4502, 2924, 1598, 5299, 5120, 5188, 6587, 2203, 7604, 2404, 3855, 1215, 7478, 5358, 4366, 1515, 6171, 8215, 6012, 630]	[1215, 7478, 964, 1523, 3272, 2203, 3855, 4366, 5358, 1515, 6012, 923, 2404, 4502, 5188, 4270, 1598, 5299]
11	0	[7115, 145]	[7115, 145, 8238, 1955, 6858]
12	0	[6152, 2386, 3686, 298, 3235, 2394, 6241, 2391, 1082, 8323, 2522, 747, 1552, 2378, 2399, 8207, 6990, 3417, 4243, 5204, 2384, 6239, 65, 2901, 6005, 1995, 3580, 7801, 1842, 4244, 2380, 2456, 8330, 8417, 4916, 4296, 4834, 2336, 3483, 7198, 703, 4493, 831, 8208, 3690, 6531, 3084, 1416, 3603, 2382, 6095, 2528, 2527, 322, 5914, 4124, 2630, 7161, 6238, 7701, 4242, 4111, 7774, 4237, 2376, 2822, 2395, 31, 2488, 7757, 6045, 2396]	[5761, 2527, 2336, 6913, 2391, 4988, 52, 4589, 3631, 65, 1419, 53, 5480, 8208, 31, 6005, 4162, 6965]
13	0	[4890, 7902, 3882, 3883, 6113, 7160, 1586, 51, 4571]	[4890, 3882, 3883, 6113, 1586, 51, 4571]
15	0	[1980, 14, 2127, 8, 736, 4548, 3079, 3080, 2069]	[1980, 14, 2127, 8, 3079, 3080, 3231, 2069]
14	0	[1980, 15, 3079, 7528, 2069]	[1980, 15, 2127, 2069]
16	21	[4697, 2711, 4383]	[3, 4383]
17	32	[6682, 7712, 7720]	[3328, 3715, 7712]
18	0	[5651, 5644, 5646, 5521]	[5651, 5644, 7816, 6200, 5646, 5938, 5940, 3555]
21	0	[1497, 211, 2254, 169, 806, 121, 215, 7265, 286, 4584, 3293, 5663, 7488, 213, 3962, 5178, 6628, 216, 214, 292, 1283, 212, 4592, 7297, 120, 204, 5004, 55]	[212, 3293, 5663, 1497, 7488, 3962, 4592, 7297, 209, 5004, 1283, 215, 7265]
19	0	[6300, 8429, 211, 2254, 994, 121, 92, 1889, 5474, 4584, 5196, 213, 3895, 124, 2117, 216, 6667, 214, 292, 91, 20, 6627, 212, 7220, 120, 4796, 204, 2156, 6227, 3601]	[921, 212, 3601, 4584, 5196, 122, 7220, 4592, 120, 4796, 994, 292, 2156, 121, 55, 124, 823, 20]
20	0	[5045, 147, 2394, 3755, 211, 994, 4751, 121, 2390, 92, 5681, 5474, 4584, 144, 5470, 826, 213, 3895, 2035, 124, 3601, 2392, 395, 7910, 2515, 2388, 292, 133, 212, 1432, 5438, 7220, 1921, 2375, 4592, 4237, 120, 204, 2395, 2156, 823, 7468]	[921, 133, 212, 4584, 144, 122, 7220, 120, 213, 2156, 121, 124]
22	0	[62, 350]	[2588, 350, 475, 7403, 62]
25	0	[23, 6007, 24, 179, 2736, 6891, 2192]	[5400, 667, 6007, 179, 7002]
24	0	[4296, 23, 1088, 179, 3711, 25]	[4588, 2194, 23, 1088, 7404, 179, 377, 3711]
26	0	[267, 1777, 7127, 2057, 2128, 2169, 2333, 2025, 2055, 2366, 4262, 4630, 7224, 7316, 7162, 1079, 2056, 461, 7276, 4758, 2016, 2189, 3964]	[267, 5927, 1777, 2057, 2193, 2128, 2169, 2333, 2055, 2366, 4630, 4262, 7224, 7812, 7162, 1079, 2056, 2184, 7276, 4758, 3964]
23	0	[478, 1324, 3378, 5339, 2594, 4917, 5124, 3542, 7062, 6601, 6007, 24, 179, 6948, 7241, 6891, 693, 25]	[7132, 660, 2184, 7062, 6007, 24, 179, 7133]
27	0	[2386, 83, 147, 395, 95, 7231, 2664]	[8338, 4680, 7532, 646]
29	36	[2553, 2413]	[2413]
28	0	[4094, 5247, 2698, 2596, 5547, 5940, 3864, 1989, 7604, 5324, 8011, 2587, 7666, 527, 5773, 2720, 1104, 693, 1688, 4686, 2946, 1704, 1098, 6100]	[7987, 1764, 7988, 5253, 2946, 1704, 5460, 6663, 2742, 2154, 7986]
31	0	[2386, 298, 2394, 2381, 2391, 2377, 2522, 12, 1552, 1735, 2390, 2378, 2387, 5819, 4589, 4243, 3631, 2384, 5639, 2901, 6005, 7483, 7801, 4244, 7962, 8330, 2392, 1907, 4834, 2336, 7910, 2388, 4238, 3084, 2382, 2379, 2527, 7701, 4242, 7774, 2375, 2376, 2395, 6494, 7757, 2396, 6965, 141]	[2386, 2379, 2527, 2374, 2336, 2391, 5639, 12, 2396, 3691, 6965, 141]
30	0	[5764, 5189, 93, 6818, 6471, 6740, 3965, 7736, 7580, 1522, 2408, 7300, 4113, 5226, 8127, 4040, 6043, 4622, 4838, 3553, 6130, 4624, 4039, 7287, 4283, 4029, 2531, 8049, 7801, 4066, 5457, 8330, 7756, 4967, 4278, 4834, 6652, 1517, 6224, 3324, 181, 6749, 7958, 194, 711, 8161, 3529, 7848, 5229, 7632, 720, 1688, 3960, 7701, 7849, 5919, 3776, 3777, 7757, 6045, 5225, 4028, 3551]	[5764, 6740, 1535, 6043, 3841, 4029, 2531, 7801, 7846, 6652, 6224, 194, 720, 1688, 7701, 3776, 3777, 7757, 4028]
32	0	[7552, 1922, 4680, 4869, 41, 5207, 2882, 7572, 8296, 5960, 6785, 8271, 6072, 1396, 33, 42, 204, 8236, 4415, 4930, 2115]	[1396, 4869, 5960, 6785, 6786, 8271, 4415, 6072, 4930, 2882, 7572]
33	0	[1396, 5960, 5708, 8271, 1018, 4140, 20]	[1396, 2142, 7910, 3987, 5960, 5708, 5041, 8271, 994, 4140, 2882]
34	0	[2702, 2211, 2704, 5788]	[2702, 2211, 2704]
35	0	[315, 2231, 3724, 776, 2595, 2373, 868, 8338, 8042, 6865, 2415, 4341, 5819, 314, 8396, 2746, 4067, 4575, 6539, 324, 777, 5114, 7078, 6048, 4653, 2228, 1356, 5469, 4390, 4705, 7180, 5065, 8009]	[2231, 3724, 776, 2595, 2373, 8042, 2415, 314, 4067, 4575, 777, 324, 7078, 3427, 3706, 1356, 2229, 4390, 7180, 5065, 8009, 141]
36	0	[3173, 4858, 7691, 1332, 8296, 6064, 7505, 794, 499, 5504, 5261, 7075, 7528, 5516, 4862, 6681, 6210, 7119]	[1332, 6064, 6231, 5261, 4862, 7119]
37	0	[3724, 2595, 2373, 868, 47, 8338, 8042, 6865, 2415, 4341, 5719, 2370, 8396, 5744, 2746, 4067, 4575, 2745, 35, 7876, 7078, 8116, 4653, 8442, 1356, 4705, 7180, 847, 5065, 8009, 1354]	[1356, 3724, 5047, 776, 7505, 2373, 8396, 4708, 868, 7078, 7180, 47, 5065, 8042, 8442, 8009]
38	0	[]	[1482, 6325, 3983]
42	0	[1396, 4869, 7552, 41, 225, 204, 4415, 44, 43]	[1396, 4869, 6654, 45, 41, 8271, 7027, 204, 4415, 277, 44, 43, 2882, 7572]
40	0	[95, 39, 45]	[5662, 2809, 6275, 8059, 39, 46, 45, 7499]
44	0	[1270, 7552, 1050, 6530, 1922, 5474, 4869, 41, 2118, 4022, 292, 4429, 2040, 327, 6654, 5041, 42, 204, 4415, 45, 244]	[1396, 7616, 1922, 4869, 7552, 3604, 41, 225, 42, 204, 292, 8236, 3031, 244]
41	0	[1396, 223, 1922, 4869, 7552, 6654, 45, 225, 4930, 42, 7885, 292, 204, 1365, 44, 4415, 43, 4429]	[1396, 4869, 8271, 7027, 42, 204, 4415, 8236, 44, 43, 4429]
43	0	[1396, 41, 42, 277, 124]	[1396, 4869, 6654, 41, 7027, 42, 204, 277, 44]
45	0	[8338, 4296, 4171]	[]
46	0	[6474, 2792, 4267, 6457, 6448, 768, 5228, 5226, 1973]	[6474, 722, 6457, 768, 5383, 5226]
39	0	[40, 5078, 2809, 6349, 6275, 6442]	[40, 2809, 3339, 5476, 4637, 8171, 6275]
47	0	[3724, 2367, 2373, 868, 37, 5329, 8042, 2639, 4341, 2370, 5744, 2746, 6946, 8005, 777, 5939, 847, 8309, 2763, 7189, 5065, 1354]	[3681, 2415, 5939, 1120, 2373, 8396, 8114, 5065, 37, 7078, 3034, 7180, 8042, 8442, 8009]
