test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
"{'NDCG@5': 0.33316192297286557, 'HR@5': 0.4449528167000286}","{'NDCG@5': 0.30522089258631857, 'HR@5': 0.4148003894839338}","{'NDCG@5': 0.2769812129607038, 'HR@5': 0.38118312134060167}","{'NDCG@5': 0.2586207601017812, 'HR@5': 0.36039339889981664}","{'NDCG@5': 0.2231269911689599, 'HR@5': 0.31943720687858257}","{'NDCG@5': 0.19621491121972004, 'HR@5': 0.28579835229501765}","{'NDCG@5': 0.16736112863441824, 'HR@5': 0.25272956326987683}","{'NDCG@5': 0.1485463699719989, 'HR@5': 0.22754327153314632}","{'NDCG@5': 0.12692276868305694, 'HR@5': 0.1979955001022704}","{'NDCG@5': 0.09546468366976124, 'HR@5': 0.15487871354592533}"
"{'NDCG@5': 0.3422982021382258, 'HR@5': 0.4586788676008007}","{'NDCG@5': 0.31733808905049193, 'HR@5': 0.4371957156767283}","{'NDCG@5': 0.2923602042271988, 'HR@5': 0.4044013729053099}","{'NDCG@5': 0.2685985455475469, 'HR@5': 0.3765627604600767}","{'NDCG@5': 0.23716180080155966, 'HR@5': 0.34093277748827516}","{'NDCG@5': 0.2112231199563636, 'HR@5': 0.3067869752844253}","{'NDCG@5': 0.18183991599336574, 'HR@5': 0.2726063829787234}","{'NDCG@5': 0.1634610279809075, 'HR@5': 0.24964082917151262}","{'NDCG@5': 0.13846343599354782, 'HR@5': 0.2153814686029863}","{'NDCG@5': 0.10586250907238526, 'HR@5': 0.17116380485145816}"
"{'NDCG@5': 0.3418090535501592, 'HR@5': 0.46125250214469543}","{'NDCG@5': 0.3148819830519557, 'HR@5': 0.4315968841285297}","{'NDCG@5': 0.2936541253143618, 'HR@5': 0.4082374318594791}","{'NDCG@5': 0.27307416966484604, 'HR@5': 0.3812302050341724}","{'NDCG@5': 0.23745761725675585, 'HR@5': 0.33858780614903594}","{'NDCG@5': 0.21213932522894785, 'HR@5': 0.30511965476657515}","{'NDCG@5': 0.18303596826570415, 'HR@5': 0.2731662933930571}","{'NDCG@5': 0.1649482029064561, 'HR@5': 0.25183006088800713}","{'NDCG@5': 0.14237065134755597, 'HR@5': 0.21988136633258334}","{'NDCG@5': 0.10669141676479349, 'HR@5': 0.17041428182065957}"
"{'NDCG@5': 0.34051704847286746, 'HR@5': 0.4603946239633972}","{'NDCG@5': 0.31392080680000617, 'HR@5': 0.4323271665043817}","{'NDCG@5': 0.28930346768022097, 'HR@5': 0.40359378154653747}","{'NDCG@5': 0.2706687117141973, 'HR@5': 0.3798966494415736}","{'NDCG@5': 0.23517336933785155, 'HR@5': 0.33572173006774364}","{'NDCG@5': 0.2109313242396256, 'HR@5': 0.3027657905060808}","{'NDCG@5': 0.1820761686318763, 'HR@5': 0.2709266517357223}","{'NDCG@5': 0.16489099119965872, 'HR@5': 0.2508038585209003}","{'NDCG@5': 0.13934924606693178, 'HR@5': 0.21647235290107042}","{'NDCG@5': 0.10784210136756732, 'HR@5': 0.1713000817661488}"
"{'NDCG@5': 0.3385314147387759, 'HR@5': 0.45696311123820416}","{'NDCG@5': 0.3123639555191555, 'HR@5': 0.43037974683544306}","{'NDCG@5': 0.2872269057557404, 'HR@5': 0.3985463355542096}","{'NDCG@5': 0.26836113485317153, 'HR@5': 0.37689614935822635}","{'NDCG@5': 0.2332287956561125, 'HR@5': 0.3333767587285044}","{'NDCG@5': 0.2072161487618062, 'HR@5': 0.2985484503726952}","{'NDCG@5': 0.1816856094407884, 'HR@5': 0.2698068309070549}","{'NDCG@5': 0.16239066079808784, 'HR@5': 0.24697270301703497}","{'NDCG@5': 0.13698435908754192, 'HR@5': 0.212926978932297}","{'NDCG@5': 0.10609964678425501, 'HR@5': 0.16693922049604798}"
"{'NDCG@5': 0.33766557316275925, 'HR@5': 0.4561052330569059}","{'NDCG@5': 0.30824281437149537, 'HR@5': 0.4269717624148004}","{'NDCG@5': 0.2840853013829057, 'HR@5': 0.39511407227942663}","{'NDCG@5': 0.26676577094766374, 'HR@5': 0.3747291215202534}","{'NDCG@5': 0.22936622090912817, 'HR@5': 0.32959874934861905}","{'NDCG@5': 0.20824248359745903, 'HR@5': 0.3006080816006277}","{'NDCG@5': 0.17929188243757035, 'HR@5': 0.2652575587905935}","{'NDCG@5': 0.15932724400280093, 'HR@5': 0.24266265307518642}","{'NDCG@5': 0.13258671590706608, 'HR@5': 0.2055635099202291}","{'NDCG@5': 0.10317264947798258, 'HR@5': 0.16237394385391116}"
"{'NDCG@5': 0.33599778192828406, 'HR@5': 0.4541035173005433}","{'NDCG@5': 0.30919503161070605, 'HR@5': 0.42575462512171375}","{'NDCG@5': 0.28244781558181314, 'HR@5': 0.392287502523723}","{'NDCG@5': 0.26482438693968596, 'HR@5': 0.3710618436406068}","{'NDCG@5': 0.23101916440761983, 'HR@5': 0.33103178738926525}","{'NDCG@5': 0.20635000428617212, 'HR@5': 0.2959003530796391}","{'NDCG@5': 0.1770839548248889, 'HR@5': 0.2622480403135498}","{'NDCG@5': 0.15832256204981374, 'HR@5': 0.23828418964219744}","{'NDCG@5': 0.1319405754284595, 'HR@5': 0.20351810186132133}","{'NDCG@5': 0.10144445380568431, 'HR@5': 0.1574679749250477}"
"{'NDCG@5': 0.33679314822657325, 'HR@5': 0.4543894766943094}","{'NDCG@5': 0.3110729525661713, 'HR@5': 0.42502434274586176}","{'NDCG@5': 0.28308176247982225, 'HR@5': 0.39309509388249547}","{'NDCG@5': 0.26579391682609216, 'HR@5': 0.371895315885981}","{'NDCG@5': 0.22891060689396242, 'HR@5': 0.3281657113079729}","{'NDCG@5': 0.20632701006453796, 'HR@5': 0.2952138093369949}","{'NDCG@5': 0.17675775160366264, 'HR@5': 0.2600783874580067}","{'NDCG@5': 0.15812581472058398, 'HR@5': 0.23684750632824794}","{'NDCG@5': 0.13214372090597282, 'HR@5': 0.2045408058907752}","{'NDCG@5': 0.10121593336133054, 'HR@5': 0.15705914418097575}"
"{'NDCG@5': 0.3366156587589412, 'HR@5': 0.45353159851301117}","{'NDCG@5': 0.31143636641534994, 'HR@5': 0.4247809152872444}","{'NDCG@5': 0.2834890284070849, 'HR@5': 0.39188370684433677}","{'NDCG@5': 0.26600495443380723, 'HR@5': 0.3720620103350558}","{'NDCG@5': 0.22976104697301414, 'HR@5': 0.32803543512245964}","{'NDCG@5': 0.20432117663738397, 'HR@5': 0.2924676343664182}","{'NDCG@5': 0.17760977390248692, 'HR@5': 0.26168812989921614}","{'NDCG@5': 0.1583037157184187, 'HR@5': 0.23623178490798385}","{'NDCG@5': 0.13205809319284328, 'HR@5': 0.20269993863775823}","{'NDCG@5': 0.10074765353406645, 'HR@5': 0.15699100572363042}"
"{'NDCG@5': 0.3364879571307401, 'HR@5': 0.4541035173005433}","{'NDCG@5': 0.3115262018880698, 'HR@5': 0.4255111976630964}","{'NDCG@5': 0.2824832336585272, 'HR@5': 0.39047042196648496}","{'NDCG@5': 0.26629175905318564, 'HR@5': 0.3737289548258043}","{'NDCG@5': 0.22986626090477086, 'HR@5': 0.325951016154247}","{'NDCG@5': 0.20426585995571542, 'HR@5': 0.29276186739897997}","{'NDCG@5': 0.1766307276421773, 'HR@5': 0.25930851063829785}","{'NDCG@5': 0.1566409458300267, 'HR@5': 0.23404255319148937}","{'NDCG@5': 0.13120787071200282, 'HR@5': 0.20119997272789256}","{'NDCG@5': 0.10038473269476131, 'HR@5': 0.15603706732079586}"
