test0,test1,test2,test3,test4
"{'NDCG@5': 0.21808018924908956, 'HR@5': 0.31963515103962337}","{'NDCG@5': 0.1874838358886796, 'HR@5': 0.2811450167973124}","{'NDCG@5': 0.1730272452237186, 'HR@5': 0.2658548265718}","{'NDCG@5': 0.14947529887135455, 'HR@5': 0.23529010704302175}","{'NDCG@5': 0.11633534049186742, 'HR@5': 0.18894794221858818}"
"{'NDCG@5': 0.23112389014125956, 'HR@5': 0.33405256963515106}","{'NDCG@5': 0.20191359900652284, 'HR@5': 0.300041993281075}","{'NDCG@5': 0.18833743655479793, 'HR@5': 0.2835055072860368}","{'NDCG@5': 0.1639853818972261, 'HR@5': 0.2520624531260653}","{'NDCG@5': 0.12650314010181135, 'HR@5': 0.20209866448623603}"
"{'NDCG@5': 0.23388116245815266, 'HR@5': 0.33542565712043937}","{'NDCG@5': 0.2041211194408545, 'HR@5': 0.29948208286674133}","{'NDCG@5': 0.19019423496383556, 'HR@5': 0.2835055072860368}","{'NDCG@5': 0.16560786047295512, 'HR@5': 0.2526078952751074}","{'NDCG@5': 0.1269253838584301, 'HR@5': 0.2004633415099482}"
"{'NDCG@5': 0.2369504775320843, 'HR@5': 0.33807375441349546}","{'NDCG@5': 0.2053675506686677, 'HR@5': 0.299062150055991}","{'NDCG@5': 0.19067117103867962, 'HR@5': 0.2828213723746323}","{'NDCG@5': 0.16550655615941784, 'HR@5': 0.25144883070839297}","{'NDCG@5': 0.1283831067999107, 'HR@5': 0.20066775688198418}"
"{'NDCG@5': 0.23887475806413194, 'HR@5': 0.3398391526088662}","{'NDCG@5': 0.2080692783894772, 'HR@5': 0.3004619260918253}","{'NDCG@5': 0.19060416998239996, 'HR@5': 0.28275295888349183}","{'NDCG@5': 0.16467575459649028, 'HR@5': 0.24981250426126678}","{'NDCG@5': 0.12908278260160608, 'HR@5': 0.20005451076587627}"
"{'NDCG@5': 0.2399616267453414, 'HR@5': 0.3385641428010985}","{'NDCG@5': 0.2126048710951118, 'HR@5': 0.3057810750279955}","{'NDCG@5': 0.19188840048584005, 'HR@5': 0.28152151604296366}","{'NDCG@5': 0.16673461062346925, 'HR@5': 0.2530851571555192}","{'NDCG@5': 0.12987685974055058, 'HR@5': 0.19787408013082583}"
"{'NDCG@5': 0.24383909664655998, 'HR@5': 0.3433699489996077}","{'NDCG@5': 0.21592767859412204, 'HR@5': 0.3092105263157895}","{'NDCG@5': 0.19330546692267353, 'HR@5': 0.28247930491893003}","{'NDCG@5': 0.16857282763420242, 'HR@5': 0.2522669939319561}","{'NDCG@5': 0.13300555754328625, 'HR@5': 0.20168983374216407}"
"{'NDCG@5': 0.24724219256009253, 'HR@5': 0.34729305610043154}","{'NDCG@5': 0.21956061578634212, 'HR@5': 0.31222004479283316}","{'NDCG@5': 0.19525056744669675, 'HR@5': 0.2837791612505986}","{'NDCG@5': 0.16904256149488198, 'HR@5': 0.25083520829072065}","{'NDCG@5': 0.1344580922928757, 'HR@5': 0.20400654129190515}"
"{'NDCG@5': 0.24986816897656677, 'HR@5': 0.35200078462142015}","{'NDCG@5': 0.22063239148055216, 'HR@5': 0.3124300111982083}","{'NDCG@5': 0.19815026436063632, 'HR@5': 0.2878839707190258}","{'NDCG@5': 0.17056333378699315, 'HR@5': 0.2537669598418218}","{'NDCG@5': 0.13469036727249703, 'HR@5': 0.20421095666394112}"
"{'NDCG@5': 0.2539112998544159, 'HR@5': 0.3556296586896822}","{'NDCG@5': 0.2237008840306374, 'HR@5': 0.3157894736842105}","{'NDCG@5': 0.20145375159897475, 'HR@5': 0.29130464527604844}","{'NDCG@5': 0.17364225369625183, 'HR@5': 0.2571759732733347}","{'NDCG@5': 0.13654358338138253, 'HR@5': 0.20768601798855274}"
