test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
"{'NDCG@5': 0.31759539413543275, 'HR@5': 0.4383757506434086}","{'NDCG@5': 0.2934700914916576, 'HR@5': 0.40555014605647516}","{'NDCG@5': 0.2674962493537298, 'HR@5': 0.37653947102766}","{'NDCG@5': 0.24930803929426, 'HR@5': 0.35389231538589766}","{'NDCG@5': 0.2191952054650482, 'HR@5': 0.31696195935383015}","{'NDCG@5': 0.19379503256861233, 'HR@5': 0.28560219693997646}","{'NDCG@5': 0.16732465663320203, 'HR@5': 0.2541293393057111}","{'NDCG@5': 0.14870226716318832, 'HR@5': 0.2312376000547308}","{'NDCG@5': 0.1262945615824926, 'HR@5': 0.19908638440035453}","{'NDCG@5': 0.09551098017510842, 'HR@5': 0.1556282365767239}"
"{'NDCG@5': 0.3152490742822465, 'HR@5': 0.43808979124964254}","{'NDCG@5': 0.29463708077606515, 'HR@5': 0.4096884128529698}","{'NDCG@5': 0.2701185352496683, 'HR@5': 0.3791641429436705}","{'NDCG@5': 0.2507812630532951, 'HR@5': 0.35822637106184363}","{'NDCG@5': 0.2184372969736216, 'HR@5': 0.3183949973944763}","{'NDCG@5': 0.19445548877848018, 'HR@5': 0.2868772067477442}","{'NDCG@5': 0.1679477695720905, 'HR@5': 0.25405935050391937}","{'NDCG@5': 0.1503399199899252, 'HR@5': 0.23438462064719162}","{'NDCG@5': 0.12913648695973354, 'HR@5': 0.20399536374173313}","{'NDCG@5': 0.09880251984534559, 'HR@5': 0.15896702098664486}"
"{'NDCG@5': 0.31659320069076885, 'HR@5': 0.4426651415498999}","{'NDCG@5': 0.29257280323990364, 'HR@5': 0.4077409931840312}","{'NDCG@5': 0.2664193757225262, 'HR@5': 0.3781546537452049}","{'NDCG@5': 0.2506069667118211, 'HR@5': 0.3565594265710952}","{'NDCG@5': 0.22004347129571014, 'HR@5': 0.3208702449192288}","{'NDCG@5': 0.19604955628564963, 'HR@5': 0.28903491565319733}","{'NDCG@5': 0.1700670124296001, 'HR@5': 0.25706886898096304}","{'NDCG@5': 0.15180293500676237, 'HR@5': 0.23424779366491072}","{'NDCG@5': 0.1305211748858229, 'HR@5': 0.2041999045476239}","{'NDCG@5': 0.09978296073263124, 'HR@5': 0.15944399018806213}"
"{'NDCG@5': 0.3206208844058049, 'HR@5': 0.4452387760937947}","{'NDCG@5': 0.2934836358825971, 'HR@5': 0.41139240506329117}","{'NDCG@5': 0.2690898079614646, 'HR@5': 0.38118312134060167}","{'NDCG@5': 0.25288872215576264, 'HR@5': 0.3573928988164694}","{'NDCG@5': 0.22035322376056543, 'HR@5': 0.32100052110474203}","{'NDCG@5': 0.19611017124725624, 'HR@5': 0.28638681836014124}","{'NDCG@5': 0.16970172308020853, 'HR@5': 0.25594904815229563}","{'NDCG@5': 0.1517729219260445, 'HR@5': 0.23342683177122528}","{'NDCG@5': 0.13064800682103533, 'HR@5': 0.20467716642803574}","{'NDCG@5': 0.1000737105287137, 'HR@5': 0.1606023439629327}"
"{'NDCG@5': 0.32004762985872814, 'HR@5': 0.4483843294252216}","{'NDCG@5': 0.29678826524619234, 'HR@5': 0.4123661148977605}","{'NDCG@5': 0.2687422845615658, 'HR@5': 0.3807793256612154}","{'NDCG@5': 0.25451161104448383, 'HR@5': 0.36072678779796635}","{'NDCG@5': 0.22115178327394547, 'HR@5': 0.32334549244398125}","{'NDCG@5': 0.1982157878371048, 'HR@5': 0.2901137701059239}","{'NDCG@5': 0.17105524913180495, 'HR@5': 0.2576987681970885}","{'NDCG@5': 0.15232933352039218, 'HR@5': 0.2348635150851748}","{'NDCG@5': 0.13152653707091644, 'HR@5': 0.20631349287516193}","{'NDCG@5': 0.10059152286758269, 'HR@5': 0.16114745162169528}"
"{'NDCG@5': 0.3263575268674018, 'HR@5': 0.4532456391192451}","{'NDCG@5': 0.2958446870869587, 'HR@5': 0.4094449853943525}","{'NDCG@5': 0.2709586837304835, 'HR@5': 0.3807793256612154}","{'NDCG@5': 0.2555035398627305, 'HR@5': 0.3592265377562927}","{'NDCG@5': 0.22367256961973148, 'HR@5': 0.32621156852527355}","{'NDCG@5': 0.19949842209821295, 'HR@5': 0.29109454688112985}","{'NDCG@5': 0.17158312955131574, 'HR@5': 0.25818868980963045}","{'NDCG@5': 0.15257448990395656, 'HR@5': 0.23404255319148937}","{'NDCG@5': 0.13115094742555347, 'HR@5': 0.20535896911433832}","{'NDCG@5': 0.10099884985939972, 'HR@5': 0.1616925592804579}"
"{'NDCG@5': 0.33242565055962886, 'HR@5': 0.4561052330569059}","{'NDCG@5': 0.3009200741337992, 'HR@5': 0.41553067185978576}","{'NDCG@5': 0.2712663304019611, 'HR@5': 0.37976983646274987}","{'NDCG@5': 0.2580598036343281, 'HR@5': 0.36072678779796635}","{'NDCG@5': 0.22413502259385426, 'HR@5': 0.32412714955706096}","{'NDCG@5': 0.20070540605384893, 'HR@5': 0.29178109062377405}","{'NDCG@5': 0.17217631501405045, 'HR@5': 0.25748880179171335}","{'NDCG@5': 0.15328368021124575, 'HR@5': 0.23424779366491072}","{'NDCG@5': 0.13093345227251038, 'HR@5': 0.20433626508488442}","{'NDCG@5': 0.10143840500726684, 'HR@5': 0.16148814390842192}"
"{'NDCG@5': 0.33742537153203134, 'HR@5': 0.4626822991135259}","{'NDCG@5': 0.3051572355723916, 'HR@5': 0.4194255111976631}","{'NDCG@5': 0.277573999319975, 'HR@5': 0.38643246517262264}","{'NDCG@5': 0.26232504480515634, 'HR@5': 0.3665610935155859}","{'NDCG@5': 0.22662646663322727, 'HR@5': 0.3256904637832204}","{'NDCG@5': 0.20391655561022357, 'HR@5': 0.2957041977245979}","{'NDCG@5': 0.17387740050851866, 'HR@5': 0.25867861142217247}","{'NDCG@5': 0.15570275553540242, 'HR@5': 0.2367790928371075}","{'NDCG@5': 0.13382033231630264, 'HR@5': 0.2078134587850276}","{'NDCG@5': 0.10269719763190185, 'HR@5': 0.1620332515671845}"
"{'NDCG@5': 0.34059927347359803, 'HR@5': 0.4646840148698885}","{'NDCG@5': 0.3081298216518489, 'HR@5': 0.42137293086660177}","{'NDCG@5': 0.2792528626763403, 'HR@5': 0.3856248738138502}","{'NDCG@5': 0.26374016251893684, 'HR@5': 0.36622770461743626}","{'NDCG@5': 0.22923189578528283, 'HR@5': 0.3299895779051589}","{'NDCG@5': 0.2050036929957092, 'HR@5': 0.2954099646920361}","{'NDCG@5': 0.17524599543290104, 'HR@5': 0.26056830907054873}","{'NDCG@5': 0.15572100950297335, 'HR@5': 0.2358897174522816}","{'NDCG@5': 0.13339271210917855, 'HR@5': 0.20692711529283425}","{'NDCG@5': 0.10231054101223544, 'HR@5': 0.16264649768329245}"
"{'NDCG@5': 0.34530152988432267, 'HR@5': 0.4661138118387189}","{'NDCG@5': 0.31090756227764604, 'HR@5': 0.41918208373904575}","{'NDCG@5': 0.2831187647500785, 'HR@5': 0.3884514435695538}","{'NDCG@5': 0.2657684867450813, 'HR@5': 0.3710618436406068}","{'NDCG@5': 0.23158914995208135, 'HR@5': 0.3303804064616988}","{'NDCG@5': 0.20718658307916224, 'HR@5': 0.2976657512750098}","{'NDCG@5': 0.1768979975021653, 'HR@5': 0.26238801791713323}","{'NDCG@5': 0.15605335477533316, 'HR@5': 0.2364370253814052}","{'NDCG@5': 0.13405097629502613, 'HR@5': 0.20801799959091838}","{'NDCG@5': 0.10248963977370122, 'HR@5': 0.16216952848187516}"
