test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
"{'NDCG@5': 0.15061970487241833, 'HR@5': 0.20760651987417786}","{'NDCG@5': 0.13604658436118164, 'HR@5': 0.18962999026290164}","{'NDCG@5': 0.12604519228412991, 'HR@5': 0.17989097516656571}","{'NDCG@5': 0.11804837892666566, 'HR@5': 0.16669444907484582}","{'NDCG@5': 0.10204364839354231, 'HR@5': 0.14708181344450236}","{'NDCG@5': 0.09077894474441678, 'HR@5': 0.13201255394272263}","{'NDCG@5': 0.0791782553914866, 'HR@5': 0.11730123180291153}","{'NDCG@5': 0.07206451378345545, 'HR@5': 0.10816172949305602}","{'NDCG@5': 0.06246354139274174, 'HR@5': 0.0932706074861935}","{'NDCG@5': 0.04660644920252283, 'HR@5': 0.07413464159171436}"
"{'NDCG@5': 0.3300144722556016, 'HR@5': 0.3883328567343437}","{'NDCG@5': 0.2976892666505201, 'HR@5': 0.35272638753651414}","{'NDCG@5': 0.27317805920305815, 'HR@5': 0.3315162527760953}","{'NDCG@5': 0.25079863184275714, 'HR@5': 0.30471745290881813}","{'NDCG@5': 0.21259208837746318, 'HR@5': 0.26380927566440854}","{'NDCG@5': 0.18166080833569376, 'HR@5': 0.23214986269125146}","{'NDCG@5': 0.15463929273639748, 'HR@5': 0.20415733482642778}","{'NDCG@5': 0.13635561312247796, 'HR@5': 0.1847164260792228}","{'NDCG@5': 0.11358921186078148, 'HR@5': 0.15647371650644304}","{'NDCG@5': 0.0823965283539546, 'HR@5': 0.12046879258653584}"
"{'NDCG@5': 0.3908499010973653, 'HR@5': 0.45181584215041465}","{'NDCG@5': 0.3568564830432695, 'HR@5': 0.4169912366114898}","{'NDCG@5': 0.3262478082415815, 'HR@5': 0.38602866949323644}","{'NDCG@5': 0.30535265360126573, 'HR@5': 0.36956159359893315}","{'NDCG@5': 0.2647368948905639, 'HR@5': 0.32660239708181343}","{'NDCG@5': 0.22915728360953996, 'HR@5': 0.2920753236563358}","{'NDCG@5': 0.19297906919074706, 'HR@5': 0.2532194848824188}","{'NDCG@5': 0.17200361160801556, 'HR@5': 0.23363207224464663}","{'NDCG@5': 0.14677461449407825, 'HR@5': 0.2027681189063885}","{'NDCG@5': 0.10840383422895249, 'HR@5': 0.1564458980648678}"
"{'NDCG@5': 0.4094427009439552, 'HR@5': 0.47297683728910495}","{'NDCG@5': 0.3770979846652187, 'HR@5': 0.4425511197663096}","{'NDCG@5': 0.3430298137061422, 'HR@5': 0.40884312537855844}","{'NDCG@5': 0.3215299010254968, 'HR@5': 0.3912318719786631}","{'NDCG@5': 0.28094238684067036, 'HR@5': 0.3466649296508598}","{'NDCG@5': 0.24508258628158855, 'HR@5': 0.31326010200078463}","{'NDCG@5': 0.20950660996766515, 'HR@5': 0.27855543113101905}","{'NDCG@5': 0.1867133847117536, 'HR@5': 0.25292467674625435}","{'NDCG@5': 0.16040856907859524, 'HR@5': 0.22363128110724756}","{'NDCG@5': 0.11789653300326483, 'HR@5': 0.1710275279367675}"
"{'NDCG@5': 0.41627418192970156, 'HR@5': 0.48212753788961965}","{'NDCG@5': 0.3831379652540773, 'HR@5': 0.4491236611489776}","{'NDCG@5': 0.3502718530458291, 'HR@5': 0.4187361195235211}","{'NDCG@5': 0.3284492570825208, 'HR@5': 0.4020670111685281}","{'NDCG@5': 0.28986923369589945, 'HR@5': 0.3611255862428348}","{'NDCG@5': 0.2533518385822248, 'HR@5': 0.324833267948215}","{'NDCG@5': 0.21738956416042488, 'HR@5': 0.2912234042553192}","{'NDCG@5': 0.19443113460914363, 'HR@5': 0.2656495860983786}","{'NDCG@5': 0.1668792786884931, 'HR@5': 0.23188109361150883}","{'NDCG@5': 0.12407154333939283, 'HR@5': 0.18090760425183974}"
"{'NDCG@5': 0.4201261536790217, 'HR@5': 0.4864169287961109}","{'NDCG@5': 0.3862668486538497, 'HR@5': 0.4527750730282376}","{'NDCG@5': 0.35486035197765586, 'HR@5': 0.423783565515849}","{'NDCG@5': 0.33042636261883906, 'HR@5': 0.40373395565927656}","{'NDCG@5': 0.29419430167029514, 'HR@5': 0.3684210526315789}","{'NDCG@5': 0.2576026047040992, 'HR@5': 0.3314044723420949}","{'NDCG@5': 0.2214138354105492, 'HR@5': 0.2959126539753639}","{'NDCG@5': 0.1987360165930483, 'HR@5': 0.27228569473900255}","{'NDCG@5': 0.1703926248305416, 'HR@5': 0.23760823617645055}","{'NDCG@5': 0.1267039266281003, 'HR@5': 0.18520032706459524}"
"{'NDCG@5': 0.4239887747040529, 'HR@5': 0.49385187303402917}","{'NDCG@5': 0.390225996903059, 'HR@5': 0.45861733203505356}","{'NDCG@5': 0.35868266472968335, 'HR@5': 0.4294367050272562}","{'NDCG@5': 0.3335156564965101, 'HR@5': 0.4082347057842974}","{'NDCG@5': 0.29711913123634487, 'HR@5': 0.37115685252735797}","{'NDCG@5': 0.2609819511516806, 'HR@5': 0.33650451157316597}","{'NDCG@5': 0.22453416607531593, 'HR@5': 0.2999020156774916}","{'NDCG@5': 0.20107409075263133, 'HR@5': 0.27584319627830606}","{'NDCG@5': 0.17374000608953655, 'HR@5': 0.24251721551782915}","{'NDCG@5': 0.1285607515567308, 'HR@5': 0.18806214227309895}"
"{'NDCG@5': 0.42583482429666203, 'HR@5': 0.49499571060909353}","{'NDCG@5': 0.3920394581912465, 'HR@5': 0.4595910418695229}","{'NDCG@5': 0.3604265386860728, 'HR@5': 0.43125378558449423}","{'NDCG@5': 0.3362600059806968, 'HR@5': 0.41056842807134525}","{'NDCG@5': 0.2987195551606392, 'HR@5': 0.37376237623762376}","{'NDCG@5': 0.26289342818877004, 'HR@5': 0.3377795213809337}","{'NDCG@5': 0.22661757661815796, 'HR@5': 0.3025615901455767}","{'NDCG@5': 0.2030610890752316, 'HR@5': 0.2774167065745365}","{'NDCG@5': 0.1751737239022158, 'HR@5': 0.2442217222335856}","{'NDCG@5': 0.13060592000089, 'HR@5': 0.19071954210956665}"
"{'NDCG@5': 0.42709355245465075, 'HR@5': 0.4955676293966257}","{'NDCG@5': 0.39288495200960755, 'HR@5': 0.4598344693281402}","{'NDCG@5': 0.3623496071682335, 'HR@5': 0.43367655966081164}","{'NDCG@5': 0.3378385480131948, 'HR@5': 0.4122353725620937}","{'NDCG@5': 0.3001687928554424, 'HR@5': 0.3748045857217301}","{'NDCG@5': 0.2647045569136935, 'HR@5': 0.33954491957630445}","{'NDCG@5': 0.22783859995510533, 'HR@5': 0.3036114221724524}","{'NDCG@5': 0.20530768072804514, 'HR@5': 0.2800164192378737}","{'NDCG@5': 0.1765466257572468, 'HR@5': 0.24599440921797233}","{'NDCG@5': 0.1319143574239096, 'HR@5': 0.19276369582992642}"
"{'NDCG@5': 0.42890129770543306, 'HR@5': 0.49785530454675436}","{'NDCG@5': 0.3944007728626851, 'HR@5': 0.46105160662122685}","{'NDCG@5': 0.36363098074669675, 'HR@5': 0.436099333737129}","{'NDCG@5': 0.3395698623077747, 'HR@5': 0.4137356226037673}","{'NDCG@5': 0.3019513599911906, 'HR@5': 0.3774101094319958}","{'NDCG@5': 0.26629709285065034, 'HR@5': 0.340623774029031}","{'NDCG@5': 0.22950911552118214, 'HR@5': 0.30522116461366183}","{'NDCG@5': 0.20744493952965137, 'HR@5': 0.28316343983033454}","{'NDCG@5': 0.17874721391023926, 'HR@5': 0.24892616076907342}","{'NDCG@5': 0.13345329898019992, 'HR@5': 0.19494412646497683}"
