test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
"{'NDCG@5': 0.30262358464065187, 'HR@5': 0.406062339147841}","{'NDCG@5': 0.2784773953636663, 'HR@5': 0.375365141187926}","{'NDCG@5': 0.24938911566775154, 'HR@5': 0.34262063395921666}","{'NDCG@5': 0.2312362083148433, 'HR@5': 0.32255375895982663}","{'NDCG@5': 0.20441419524949098, 'HR@5': 0.28778009379885355}","{'NDCG@5': 0.17861776787552353, 'HR@5': 0.2534327187132209}","{'NDCG@5': 0.1477720522364256, 'HR@5': 0.21892497200447927}","{'NDCG@5': 0.1312325378808269, 'HR@5': 0.19730450844906616}","{'NDCG@5': 0.11227381813382101, 'HR@5': 0.17188245721688145}","{'NDCG@5': 0.08106596606463827, 'HR@5': 0.1272826383210684}"
"{'NDCG@5': 0.3111503564701714, 'HR@5': 0.4272233342865313}","{'NDCG@5': 0.2894153456694385, 'HR@5': 0.40165530671859784}","{'NDCG@5': 0.2607990839852821, 'HR@5': 0.36523319200484555}","{'NDCG@5': 0.24309658209527726, 'HR@5': 0.3490581763627271}","{'NDCG@5': 0.21596817152035777, 'HR@5': 0.31448671182907767}","{'NDCG@5': 0.19066839848403894, 'HR@5': 0.28148293448411144}","{'NDCG@5': 0.15882289726587973, 'HR@5': 0.24433090705487123}","{'NDCG@5': 0.1419907545139665, 'HR@5': 0.22213860573305055}","{'NDCG@5': 0.12240586298204219, 'HR@5': 0.19526828935706006}","{'NDCG@5': 0.09105154638578108, 'HR@5': 0.14970019078768057}"
"{'NDCG@5': 0.31567551895001045, 'HR@5': 0.4409493851873034}","{'NDCG@5': 0.28655972594867507, 'HR@5': 0.4033592989289192}","{'NDCG@5': 0.2609245657125408, 'HR@5': 0.3702806379971734}","{'NDCG@5': 0.24317353182477763, 'HR@5': 0.35539256542757125}","{'NDCG@5': 0.2162536985696388, 'HR@5': 0.3187858259510162}","{'NDCG@5': 0.191143975924559, 'HR@5': 0.2879560612004708}","{'NDCG@5': 0.1605047102930611, 'HR@5': 0.25083986562150057}","{'NDCG@5': 0.14316422614981625, 'HR@5': 0.22781692549770816}","{'NDCG@5': 0.1234424420304541, 'HR@5': 0.20051817004158998}","{'NDCG@5': 0.0916270242635296, 'HR@5': 0.15494685200327066}"
"{'NDCG@5': 0.31391607898213525, 'HR@5': 0.4403774663997712}","{'NDCG@5': 0.2882113137376567, 'HR@5': 0.40847127555988316}","{'NDCG@5': 0.2608018299072488, 'HR@5': 0.3735110034322633}","{'NDCG@5': 0.24066698872584819, 'HR@5': 0.35539256542757125}","{'NDCG@5': 0.21562520557357173, 'HR@5': 0.31943720687858257}","{'NDCG@5': 0.1889655026694876, 'HR@5': 0.28619066300510004}","{'NDCG@5': 0.16091531860035568, 'HR@5': 0.25377939529675253}","{'NDCG@5': 0.14376601054531632, 'HR@5': 0.2299377437230622}","{'NDCG@5': 0.1235846462964779, 'HR@5': 0.20126815299652281}","{'NDCG@5': 0.09266250878863987, 'HR@5': 0.157536113382393}"
"{'NDCG@5': 0.3112067040997645, 'HR@5': 0.4392336288247069}","{'NDCG@5': 0.2864665090646196, 'HR@5': 0.4089581304771178}","{'NDCG@5': 0.26039492890557375, 'HR@5': 0.37472239047042194}","{'NDCG@5': 0.2395694626926256, 'HR@5': 0.3540590098349725}","{'NDCG@5': 0.21400345094886974, 'HR@5': 0.3170922355393434}","{'NDCG@5': 0.18745523397689265, 'HR@5': 0.2855041192624559}","{'NDCG@5': 0.15966386350023104, 'HR@5': 0.2530795072788354}","{'NDCG@5': 0.14223586605598615, 'HR@5': 0.22822740644455086}","{'NDCG@5': 0.12191317379462391, 'HR@5': 0.19970000681802685}","{'NDCG@5': 0.09169679975933961, 'HR@5': 0.1580130825838103}"
"{'NDCG@5': 0.3093175751545652, 'HR@5': 0.43608807549327994}","{'NDCG@5': 0.2850975074267549, 'HR@5': 0.4094449853943525}","{'NDCG@5': 0.2591683309610615, 'HR@5': 0.3735110034322633}","{'NDCG@5': 0.23677779305079716, 'HR@5': 0.35122520420070014}","{'NDCG@5': 0.21326131447246233, 'HR@5': 0.318264721208963}","{'NDCG@5': 0.18665548268971954, 'HR@5': 0.2849156531973323}","{'NDCG@5': 0.1587705806584539, 'HR@5': 0.2520996640537514}","{'NDCG@5': 0.1424575081801814, 'HR@5': 0.22897995484709585}","{'NDCG@5': 0.12050494498759093, 'HR@5': 0.1988136633258335}","{'NDCG@5': 0.09097843239509944, 'HR@5': 0.1561733442354865}"
"{'NDCG@5': 0.30944382391536024, 'HR@5': 0.4412353445810695}","{'NDCG@5': 0.28342149148695234, 'HR@5': 0.4106621226874391}","{'NDCG@5': 0.25609367464342686, 'HR@5': 0.3737129012719564}","{'NDCG@5': 0.23713450442120348, 'HR@5': 0.3527254542423737}","{'NDCG@5': 0.21098856893193998, 'HR@5': 0.3148775403856175}","{'NDCG@5': 0.18492984630490575, 'HR@5': 0.2842291094546881}","{'NDCG@5': 0.1589167470623936, 'HR@5': 0.25272956326987683}","{'NDCG@5': 0.1404111631705857, 'HR@5': 0.22747485804200587}","{'NDCG@5': 0.1198764023636297, 'HR@5': 0.19813186063953092}","{'NDCG@5': 0.091242006692425, 'HR@5': 0.15658217497955845}"
"{'NDCG@5': 0.30782852175944386, 'HR@5': 0.43780383185587646}","{'NDCG@5': 0.28141326308619596, 'HR@5': 0.40628042843232715}","{'NDCG@5': 0.25532582120053676, 'HR@5': 0.3722996163941046}","{'NDCG@5': 0.23678752055414104, 'HR@5': 0.35439239873312217}","{'NDCG@5': 0.2112236786460689, 'HR@5': 0.3167014069828035}","{'NDCG@5': 0.18497252887936969, 'HR@5': 0.28413103177716753}","{'NDCG@5': 0.15766497033782456, 'HR@5': 0.25167973124300114}","{'NDCG@5': 0.1402960469162633, 'HR@5': 0.22747485804200587}","{'NDCG@5': 0.11995662051530147, 'HR@5': 0.19860912251994273}","{'NDCG@5': 0.09087851599516535, 'HR@5': 0.15733169801035704}"
"{'NDCG@5': 0.306651509593989, 'HR@5': 0.4389476694309408}","{'NDCG@5': 0.28085613010005595, 'HR@5': 0.4087147030185005}","{'NDCG@5': 0.2541303270188357, 'HR@5': 0.3720977185544115}","{'NDCG@5': 0.23526194297073452, 'HR@5': 0.35122520420070014}","{'NDCG@5': 0.20940836941043267, 'HR@5': 0.31435643564356436}","{'NDCG@5': 0.18353674682100643, 'HR@5': 0.28324833267948213}","{'NDCG@5': 0.15833901284196786, 'HR@5': 0.2535694288913774}","{'NDCG@5': 0.13938109189283016, 'HR@5': 0.22754327153314632}","{'NDCG@5': 0.11996830117125452, 'HR@5': 0.20004090816117814}","{'NDCG@5': 0.09024867392327755, 'HR@5': 0.1564458980648678}"
"{'NDCG@5': 0.30615980698081874, 'HR@5': 0.43580211609951386}","{'NDCG@5': 0.27952177131603023, 'HR@5': 0.4060370009737098}","{'NDCG@5': 0.2526218249978939, 'HR@5': 0.3700787401574803}","{'NDCG@5': 0.23546026749927734, 'HR@5': 0.35205867644607436}","{'NDCG@5': 0.2086036137018385, 'HR@5': 0.31357477853048465}","{'NDCG@5': 0.183709961118983, 'HR@5': 0.2843271871322087}","{'NDCG@5': 0.15727035010764667, 'HR@5': 0.25083986562150057}","{'NDCG@5': 0.13867414265735725, 'HR@5': 0.22562769378121367}","{'NDCG@5': 0.11968168213881876, 'HR@5': 0.19901820413172427}","{'NDCG@5': 0.09044234768668062, 'HR@5': 0.1571954210956664}"
