test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
"{'NDCG@5': 0.03306965452642983, 'HR@5': 0.05519016299685445}","{'NDCG@5': 0.03031349068483175, 'HR@5': 0.04990262901655307}","{'NDCG@5': 0.031625446162965684, 'HR@5': 0.0541086210377549}","{'NDCG@5': 0.031773658068511346, 'HR@5': 0.054342390398399734}","{'NDCG@5': 0.03179486965453902, 'HR@5': 0.054455445544554455}","{'NDCG@5': 0.031047221495386072, 'HR@5': 0.05109846998823068}","{'NDCG@5': 0.03046382184210309, 'HR@5': 0.05249160134378499}","{'NDCG@5': 0.03005950940883176, 'HR@5': 0.05096805089963741}","{'NDCG@5': 0.030154274595223445, 'HR@5': 0.05052157905502148}","{'NDCG@5': 0.032249389889778386, 'HR@5': 0.053216135186699376}"
"{'NDCG@5': 0.032288864123880975, 'HR@5': 0.05461824420932228}","{'NDCG@5': 0.029233805428243893, 'HR@5': 0.04965920155793573}","{'NDCG@5': 0.03127451948868362, 'HR@5': 0.05249343832020997}","{'NDCG@5': 0.03244024640037379, 'HR@5': 0.055175862643773964}","{'NDCG@5': 0.03170332038065292, 'HR@5': 0.054325169359041164}","{'NDCG@5': 0.03051393256381461, 'HR@5': 0.050411926245586505}","{'NDCG@5': 0.030661492071513138, 'HR@5': 0.052701567749160134}","{'NDCG@5': 0.03029308767892992, 'HR@5': 0.05103646439077786}","{'NDCG@5': 0.030787999266229465, 'HR@5': 0.051544283084475354}","{'NDCG@5': 0.03127148208723256, 'HR@5': 0.05253475061324612}"
"{'NDCG@5': 0.03401662796428931, 'HR@5': 0.05690591935945096}","{'NDCG@5': 0.029679389117481057, 'HR@5': 0.05111976630963973}","{'NDCG@5': 0.030897554565371584, 'HR@5': 0.05330102967898243}","{'NDCG@5': 0.03250275346826425, 'HR@5': 0.055509251541923654}","{'NDCG@5': 0.031049259876612025, 'HR@5': 0.05198019801980198}","{'NDCG@5': 0.03188109911595858, 'HR@5': 0.05433503334641036}","{'NDCG@5': 0.031406959801012165, 'HR@5': 0.05445128779395297}","{'NDCG@5': 0.031231044089054343, 'HR@5': 0.05233632072244647}","{'NDCG@5': 0.030545400202830707, 'HR@5': 0.051476102815845096}","{'NDCG@5': 0.031805680915469335, 'HR@5': 0.05335241210139002}"
"{'NDCG@5': 0.03367628259254959, 'HR@5': 0.056334000571918785}","{'NDCG@5': 0.029973265741652565, 'HR@5': 0.05282375851996105}","{'NDCG@5': 0.03372586937923536, 'HR@5': 0.05754088431253786}","{'NDCG@5': 0.031400477964967484, 'HR@5': 0.052175362560426736}","{'NDCG@5': 0.030662476503186948, 'HR@5': 0.05106826472120896}","{'NDCG@5': 0.03204170245422575, 'HR@5': 0.054040800313848565}","{'NDCG@5': 0.03185486390812259, 'HR@5': 0.05438129899216126}","{'NDCG@5': 0.032616504811316574, 'HR@5': 0.0543203119655196}","{'NDCG@5': 0.03172192605562863, 'HR@5': 0.05338515033749233}","{'NDCG@5': 0.03261194307920122, 'HR@5': 0.05451076587626056}"
"{'NDCG@5': 0.032761339829767686, 'HR@5': 0.05347440663425793}","{'NDCG@5': 0.029078861815088012, 'HR@5': 0.04892891918208374}","{'NDCG@5': 0.03375892701225151, 'HR@5': 0.05754088431253786}","{'NDCG@5': 0.032371483606049585, 'HR@5': 0.053342223703950656}","{'NDCG@5': 0.029516576358286903, 'HR@5': 0.0484627410109432}","{'NDCG@5': 0.03125951631869079, 'HR@5': 0.05237347979599843}","{'NDCG@5': 0.03197569794297653, 'HR@5': 0.05459126539753639}","{'NDCG@5': 0.03317475285410968, 'HR@5': 0.05603064924403092}","{'NDCG@5': 0.03178240566778345, 'HR@5': 0.05406695302379491}","{'NDCG@5': 0.0324143088282813, 'HR@5': 0.05423821204687926}"
"{'NDCG@5': 0.033372543784936363, 'HR@5': 0.05661995996568487}","{'NDCG@5': 0.02977351500659897, 'HR@5': 0.05160662122687439}","{'NDCG@5': 0.03265611213581821, 'HR@5': 0.05491621239652736}","{'NDCG@5': 0.032234220779863175, 'HR@5': 0.054342390398399734}","{'NDCG@5': 0.02968382124105545, 'HR@5': 0.047941636268890045}","{'NDCG@5': 0.03162475486417764, 'HR@5': 0.05296194586112201}","{'NDCG@5': 0.03183303990366417, 'HR@5': 0.054171332586786115}","{'NDCG@5': 0.03327120373792686, 'HR@5': 0.05514127385920504}","{'NDCG@5': 0.032452723267369726, 'HR@5': 0.05502147678461853}","{'NDCG@5': 0.03294526699359566, 'HR@5': 0.05505587353502317}"
"{'NDCG@5': 0.03246977848082819, 'HR@5': 0.05376036602802402}","{'NDCG@5': 0.028732914242913174, 'HR@5': 0.049172346640701074}","{'NDCG@5': 0.031900300416175205, 'HR@5': 0.053704825358368666}","{'NDCG@5': 0.031955259698529616, 'HR@5': 0.053175529254875814}","{'NDCG@5': 0.030008829129316766, 'HR@5': 0.04898384575299635}","{'NDCG@5': 0.03138986321485489, 'HR@5': 0.05256963515103962}","{'NDCG@5': 0.03206216071411333, 'HR@5': 0.05473124300111982}","{'NDCG@5': 0.033038083045087825, 'HR@5': 0.05473079291236232}","{'NDCG@5': 0.03230736028407681, 'HR@5': 0.0547487557100975}","{'NDCG@5': 0.03247568744823456, 'HR@5': 0.05403379667484328}"
"{'NDCG@5': 0.03215994384399668, 'HR@5': 0.05404632542179011}","{'NDCG@5': 0.02834093354222188, 'HR@5': 0.048198636806231744}","{'NDCG@5': 0.031228825730322138, 'HR@5': 0.05229154048051686}","{'NDCG@5': 0.0318229315645877, 'HR@5': 0.053008834805800965}","{'NDCG@5': 0.03047682270055246, 'HR@5': 0.04976550286607608}","{'NDCG@5': 0.03157304029786088, 'HR@5': 0.053256178893683795}","{'NDCG@5': 0.03208926496950138, 'HR@5': 0.05445128779395297}","{'NDCG@5': 0.033219619030280555, 'HR@5': 0.05575699527946911}","{'NDCG@5': 0.032542746146297145, 'HR@5': 0.05563509920229086}","{'NDCG@5': 0.03228051166665653, 'HR@5': 0.05396565821749796}"
"{'NDCG@5': 0.031426092696506716, 'HR@5': 0.05318844724049185}","{'NDCG@5': 0.02832435996284754, 'HR@5': 0.04868549172346641}","{'NDCG@5': 0.030950021838011075, 'HR@5': 0.05128205128205128}","{'NDCG@5': 0.03187784109488735, 'HR@5': 0.052675445907651275}","{'NDCG@5': 0.029937447517394966, 'HR@5': 0.04885356956748307}","{'NDCG@5': 0.030895267661914784, 'HR@5': 0.05100039231071008}","{'NDCG@5': 0.032694841823990385, 'HR@5': 0.05550111982082867}","{'NDCG@5': 0.03360719725584717, 'HR@5': 0.0556201682971882}","{'NDCG@5': 0.03224886699009194, 'HR@5': 0.054476034635576466}","{'NDCG@5': 0.032279423103048696, 'HR@5': 0.0538293813028073}"
"{'NDCG@5': 0.03161514042903423, 'HR@5': 0.05347440663425793}","{'NDCG@5': 0.028434532497185864, 'HR@5': 0.04844206426484907}","{'NDCG@5': 0.03176395440305409, 'HR@5': 0.0541086210377549}","{'NDCG@5': 0.032138268497880616, 'HR@5': 0.053008834805800965}","{'NDCG@5': 0.030576616249773522, 'HR@5': 0.04989577905158937}","{'NDCG@5': 0.031461959577517, 'HR@5': 0.05178501373087485}","{'NDCG@5': 0.03255486422040696, 'HR@5': 0.055641097424412096}","{'NDCG@5': 0.034075264273985904, 'HR@5': 0.056372716699733184}","{'NDCG@5': 0.03271552346644802, 'HR@5': 0.055362378127769826}","{'NDCG@5': 0.03246421072384848, 'HR@5': 0.054101935132188604}"
