test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
"{'NDCG@5': 0.37202697388422096, 'HR@5': 0.5087217615098656}","{'NDCG@5': 0.3313656578761725, 'HR@5': 0.45399221032132425}","{'NDCG@5': 0.3039790134509058, 'HR@5': 0.4258025439127801}","{'NDCG@5': 0.28125791534180367, 'HR@5': 0.39689948324720786}","{'NDCG@5': 0.25119801975553074, 'HR@5': 0.36216779572694113}","{'NDCG@5': 0.22963090665386765, 'HR@5': 0.3371910553158101}","{'NDCG@5': 0.20249956333594218, 'HR@5': 0.3013017917133259}","{'NDCG@5': 0.18278989670464227, 'HR@5': 0.27789560101251964}","{'NDCG@5': 0.15590915250974882, 'HR@5': 0.2409490693393332}","{'NDCG@5': 0.12086644109680893, 'HR@5': 0.19051512673753065}"
"{'NDCG@5': 0.40705703793860115, 'HR@5': 0.5433228481555619}","{'NDCG@5': 0.3627787273275438, 'HR@5': 0.4924537487828627}","{'NDCG@5': 0.33992800506665743, 'HR@5': 0.46820109024833434}","{'NDCG@5': 0.3156094304273819, 'HR@5': 0.44124020670111685}","{'NDCG@5': 0.2834003991532279, 'HR@5': 0.40372589890568006}","{'NDCG@5': 0.26052237338094114, 'HR@5': 0.37563750490388387}","{'NDCG@5': 0.23650616897357649, 'HR@5': 0.3470044792833147}","{'NDCG@5': 0.21308919991727582, 'HR@5': 0.3181911472942464}","{'NDCG@5': 0.1822279437624099, 'HR@5': 0.277834594668303}","{'NDCG@5': 0.1466095266896952, 'HR@5': 0.2272417552466612}"
"{'NDCG@5': 0.41634697656884273, 'HR@5': 0.5544752645124392}","{'NDCG@5': 0.37184623994813787, 'HR@5': 0.5043816942551119}","{'NDCG@5': 0.3498747067138221, 'HR@5': 0.4805168584696144}","{'NDCG@5': 0.3269779479254269, 'HR@5': 0.4530755125854309}","{'NDCG@5': 0.295474721382817, 'HR@5': 0.4158415841584158}","{'NDCG@5': 0.27102252765357315, 'HR@5': 0.3861318163985877}","{'NDCG@5': 0.24955241505932926, 'HR@5': 0.3603723404255319}","{'NDCG@5': 0.22514396621629276, 'HR@5': 0.3311897106109325}","{'NDCG@5': 0.19441968513552918, 'HR@5': 0.2929024340355901}","{'NDCG@5': 0.15812162695349463, 'HR@5': 0.2402562005996184}"
"{'NDCG@5': 0.4262148343782811, 'HR@5': 0.5682013154132113}","{'NDCG@5': 0.3798349277196344, 'HR@5': 0.5116845180136319}","{'NDCG@5': 0.35561465289387545, 'HR@5': 0.48556430446194226}","{'NDCG@5': 0.33499817734647397, 'HR@5': 0.4632438739789965}","{'NDCG@5': 0.29991939347367724, 'HR@5': 0.4207920792079208}","{'NDCG@5': 0.2783313926726437, 'HR@5': 0.394566496665359}","{'NDCG@5': 0.2555258671406984, 'HR@5': 0.36779115341545354}","{'NDCG@5': 0.23273630076484847, 'HR@5': 0.3401518779503318}","{'NDCG@5': 0.19850075788957777, 'HR@5': 0.29624326719847277}","{'NDCG@5': 0.16315290062229118, 'HR@5': 0.24618424638866176}"
"{'NDCG@5': 0.43053202003252483, 'HR@5': 0.5733485845010009}","{'NDCG@5': 0.38349359037746666, 'HR@5': 0.5148490749756572}","{'NDCG@5': 0.3596497031519395, 'HR@5': 0.48919846557641833}","{'NDCG@5': 0.33928869879534357, 'HR@5': 0.4675779296549425}","{'NDCG@5': 0.30426109538634505, 'HR@5': 0.4256122980719125}","{'NDCG@5': 0.28299180921060574, 'HR@5': 0.39996076892899174}","{'NDCG@5': 0.26151318104221005, 'HR@5': 0.3749300111982083}","{'NDCG@5': 0.23740389145515367, 'HR@5': 0.34487240883902304}","{'NDCG@5': 0.20371885909645035, 'HR@5': 0.3017658689575237}","{'NDCG@5': 0.1675916066427073, 'HR@5': 0.25231670754974106}"
"{'NDCG@5': 0.43254262292081785, 'HR@5': 0.5744924220760652}","{'NDCG@5': 0.38676757187509914, 'HR@5': 0.5172833495618305}","{'NDCG@5': 0.36254996431050496, 'HR@5': 0.49384211588936}","{'NDCG@5': 0.34167631500451534, 'HR@5': 0.46957826304384065}","{'NDCG@5': 0.3087134326384608, 'HR@5': 0.4303022407503908}","{'NDCG@5': 0.2883142507888029, 'HR@5': 0.404276186739898}","{'NDCG@5': 0.2664056340598061, 'HR@5': 0.3796892497200448}","{'NDCG@5': 0.24154019040858202, 'HR@5': 0.3481562564137648}","{'NDCG@5': 0.20789155641352594, 'HR@5': 0.30558396400081816}","{'NDCG@5': 0.17057105916049528, 'HR@5': 0.2543608612701008}"
"{'NDCG@5': 0.43668878976839676, 'HR@5': 0.5784958535887904}","{'NDCG@5': 0.39035960674209763, 'HR@5': 0.5206913339824732}","{'NDCG@5': 0.3672530698839834, 'HR@5': 0.49727437916414297}","{'NDCG@5': 0.34684940601990716, 'HR@5': 0.4740790131688615}","{'NDCG@5': 0.31207583303390013, 'HR@5': 0.4340802501302762}","{'NDCG@5': 0.29161262321671844, 'HR@5': 0.4073165947430365}","{'NDCG@5': 0.26974299049393224, 'HR@5': 0.383048712206047}","{'NDCG@5': 0.24450543306610775, 'HR@5': 0.3519189984264897}","{'NDCG@5': 0.210986737756756, 'HR@5': 0.30899297743233106}","{'NDCG@5': 0.17400079998057072, 'HR@5': 0.25810847642409374}"
"{'NDCG@5': 0.44015589065519883, 'HR@5': 0.5836431226765799}","{'NDCG@5': 0.39208219562775665, 'HR@5': 0.5250730282375852}","{'NDCG@5': 0.36909500081838564, 'HR@5': 0.4984857662023016}","{'NDCG@5': 0.34837912254096126, 'HR@5': 0.47657942990498414}","{'NDCG@5': 0.3138449782294845, 'HR@5': 0.43525273579989576}","{'NDCG@5': 0.29464067639692776, 'HR@5': 0.41074931345625737}","{'NDCG@5': 0.2726595439401983, 'HR@5': 0.3861282194848824}","{'NDCG@5': 0.24784285704436665, 'HR@5': 0.35554491345693373}","{'NDCG@5': 0.2134512536259311, 'HR@5': 0.31056112361082705}","{'NDCG@5': 0.1758125750202915, 'HR@5': 0.2609021531752521}"
"{'NDCG@5': 0.4422402963385462, 'HR@5': 0.5856448384329426}","{'NDCG@5': 0.3945469098985017, 'HR@5': 0.5277507302823758}","{'NDCG@5': 0.37208510685808405, 'HR@5': 0.5023218251564708}","{'NDCG@5': 0.3510871907928652, 'HR@5': 0.48024670778463074}","{'NDCG@5': 0.31775349228331046, 'HR@5': 0.43903074517978113}","{'NDCG@5': 0.2971333794978354, 'HR@5': 0.41369164378187523}","{'NDCG@5': 0.27592297567308355, 'HR@5': 0.38801791713325867}","{'NDCG@5': 0.25068742183560105, 'HR@5': 0.3588971745228159}","{'NDCG@5': 0.2166238483067392, 'HR@5': 0.3139019567737097}","{'NDCG@5': 0.17862708233716781, 'HR@5': 0.26410466067048244}"
"{'NDCG@5': 0.44389744518866897, 'HR@5': 0.5862167572204747}","{'NDCG@5': 0.39724018041627807, 'HR@5': 0.5316455696202531}","{'NDCG@5': 0.3739219155815527, 'HR@5': 0.5043408035534019}","{'NDCG@5': 0.3542719732209777, 'HR@5': 0.4844140690115019}","{'NDCG@5': 0.31961613965727326, 'HR@5': 0.44085461177696716}","{'NDCG@5': 0.30023980124003297, 'HR@5': 0.41663397410749314}","{'NDCG@5': 0.27888960623132536, 'HR@5': 0.39221724524076146}","{'NDCG@5': 0.2529074138442764, 'HR@5': 0.3610864062393104}","{'NDCG@5': 0.2195206824911053, 'HR@5': 0.318470034771937}","{'NDCG@5': 0.18016851062793798, 'HR@5': 0.26553556827473423}"
"{'NDCG@5': 0.44614136927463155, 'HR@5': 0.5896482699456678}","{'NDCG@5': 0.39947736901038083, 'HR@5': 0.5335929892891919}","{'NDCG@5': 0.3762006010498485, 'HR@5': 0.5081768625075712}","{'NDCG@5': 0.3569523093809143, 'HR@5': 0.48558093015502585}","{'NDCG@5': 0.32232034005712307, 'HR@5': 0.4448931735278791}","{'NDCG@5': 0.30213399937737084, 'HR@5': 0.4196743821106316}","{'NDCG@5': 0.2807965651434358, 'HR@5': 0.39340705487122063}","{'NDCG@5': 0.255108440587433, 'HR@5': 0.36142847369501263}","{'NDCG@5': 0.22142076818670722, 'HR@5': 0.3192881979955001}","{'NDCG@5': 0.1817674111186625, 'HR@5': 0.26757972199509406}"
"{'NDCG@5': 0.4493648739406154, 'HR@5': 0.5933657420646268}","{'NDCG@5': 0.4017312182929637, 'HR@5': 0.5370009737098345}","{'NDCG@5': 0.3796375014609342, 'HR@5': 0.5120129214617404}","{'NDCG@5': 0.358114541820916, 'HR@5': 0.4865810968494749}","{'NDCG@5': 0.3244496122931326, 'HR@5': 0.4493225638353309}","{'NDCG@5': 0.3052477896797817, 'HR@5': 0.42193016869360533}","{'NDCG@5': 0.2833916026893835, 'HR@5': 0.395506718924972}","{'NDCG@5': 0.2572039426247236, 'HR@5': 0.36395977286720943}","{'NDCG@5': 0.22315014248550225, 'HR@5': 0.3201745414876935}","{'NDCG@5': 0.18344823798750132, 'HR@5': 0.2693513218860725}"
