test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
"{'NDCG@5': 0.30440466276647044, 'HR@5': 0.4175007148984844}","{'NDCG@5': 0.2780189885034433, 'HR@5': 0.3868062317429406}","{'NDCG@5': 0.25196874976837225, 'HR@5': 0.35634968705834846}","{'NDCG@5': 0.23303531715377995, 'HR@5': 0.33855642607101183}","{'NDCG@5': 0.2001801978183259, 'HR@5': 0.2957269411151641}","{'NDCG@5': 0.17430882857147448, 'HR@5': 0.26176932130247155}","{'NDCG@5': 0.14639083893704052, 'HR@5': 0.22697368421052633}","{'NDCG@5': 0.13072194111134622, 'HR@5': 0.20592460833276321}","{'NDCG@5': 0.11310755870810657, 'HR@5': 0.18367764368991613}","{'NDCG@5': 0.08457724263357491, 'HR@5': 0.14063777596075225}"
"{'NDCG@5': 0.30515380692373206, 'HR@5': 0.4220760651987418}","{'NDCG@5': 0.28107368746423306, 'HR@5': 0.3936222005842259}","{'NDCG@5': 0.258470302373312, 'HR@5': 0.36664647688269736}","{'NDCG@5': 0.23691976324621505, 'HR@5': 0.34655775962660446}","{'NDCG@5': 0.20770267831899994, 'HR@5': 0.30458572173006776}","{'NDCG@5': 0.1816940150647585, 'HR@5': 0.2701059238917222}","{'NDCG@5': 0.14815092875139138, 'HR@5': 0.23089305711086225}","{'NDCG@5': 0.13416420425069095, 'HR@5': 0.21221864951768488}","{'NDCG@5': 0.11450733936951159, 'HR@5': 0.18415490557032796}","{'NDCG@5': 0.08743051947769354, 'HR@5': 0.1471790678659035}"
"{'NDCG@5': 0.3122958759165359, 'HR@5': 0.4315127251930226}","{'NDCG@5': 0.28847755425275956, 'HR@5': 0.40481986368062317}","{'NDCG@5': 0.26508113032430697, 'HR@5': 0.37734706238643245}","{'NDCG@5': 0.24113478836548455, 'HR@5': 0.3505584264044007}","{'NDCG@5': 0.2083904589519866, 'HR@5': 0.30575820739968734}","{'NDCG@5': 0.1823783055217196, 'HR@5': 0.27187132208709297}","{'NDCG@5': 0.15269261059566558, 'HR@5': 0.23656215005599104}","{'NDCG@5': 0.13751472134885784, 'HR@5': 0.21591297803926934}","{'NDCG@5': 0.11907598569476127, 'HR@5': 0.19165473511965636}","{'NDCG@5': 0.09117003625292648, 'HR@5': 0.14983646770237122}"
"{'NDCG@5': 0.3186275667021114, 'HR@5': 0.43608807549327994}","{'NDCG@5': 0.29398081465170933, 'HR@5': 0.4094449853943525}","{'NDCG@5': 0.2653966764102966, 'HR@5': 0.37330910559257013}","{'NDCG@5': 0.24748048035610917, 'HR@5': 0.35072512085347557}","{'NDCG@5': 0.21675519915581704, 'HR@5': 0.3138353309015112}","{'NDCG@5': 0.18650488159629297, 'HR@5': 0.27559827383287566}","{'NDCG@5': 0.15542768493022982, 'HR@5': 0.23985162374020158}","{'NDCG@5': 0.14244879616465475, 'HR@5': 0.21988096052541561}","{'NDCG@5': 0.12635632303242236, 'HR@5': 0.19758641849048886}","{'NDCG@5': 0.10027195669809585, 'HR@5': 0.1606023439629327}"
"{'NDCG@5': 0.31828192906861835, 'HR@5': 0.44066342579353734}","{'NDCG@5': 0.2928063786594584, 'HR@5': 0.40993184031158714}","{'NDCG@5': 0.26843923944629394, 'HR@5': 0.3720977185544115}","{'NDCG@5': 0.24990060023898963, 'HR@5': 0.35355892648774795}","{'NDCG@5': 0.21790188602722965, 'HR@5': 0.3126628452318916}","{'NDCG@5': 0.18821732976924976, 'HR@5': 0.2766771282856022}","{'NDCG@5': 0.1573154105034038, 'HR@5': 0.23915173572228443}","{'NDCG@5': 0.14386569579926375, 'HR@5': 0.22035985496339877}","{'NDCG@5': 0.13025730729695453, 'HR@5': 0.2020863162200859}","{'NDCG@5': 0.10266011272789191, 'HR@5': 0.16257835922594713}"
"{'NDCG@5': 0.3215338655169674, 'HR@5': 0.4412353445810695}","{'NDCG@5': 0.29141380588033855, 'HR@5': 0.4072541382667965}","{'NDCG@5': 0.2681102295376057, 'HR@5': 0.3753280839895013}","{'NDCG@5': 0.25368806515175774, 'HR@5': 0.3605600933488915}","{'NDCG@5': 0.218607891803796, 'HR@5': 0.31435643564356436}","{'NDCG@5': 0.1883517320568238, 'HR@5': 0.2760886622204786}","{'NDCG@5': 0.15836368560957853, 'HR@5': 0.24139137737961927}","{'NDCG@5': 0.14849202920947321, 'HR@5': 0.22665389614832046}","{'NDCG@5': 0.1354861594826642, 'HR@5': 0.20849526147133018}","{'NDCG@5': 0.10771706216429347, 'HR@5': 0.17000545107658763}"
"{'NDCG@5': 0.31662833274810287, 'HR@5': 0.4352301973119817}","{'NDCG@5': 0.2947687098625819, 'HR@5': 0.4077409931840312}","{'NDCG@5': 0.2696991964756874, 'HR@5': 0.3781546537452049}","{'NDCG@5': 0.24919482263708465, 'HR@5': 0.35122520420070014}","{'NDCG@5': 0.22103949362134007, 'HR@5': 0.31683168316831684}","{'NDCG@5': 0.18819830910680369, 'HR@5': 0.2741271086700667}","{'NDCG@5': 0.1553866741534201, 'HR@5': 0.2347424412094065}","{'NDCG@5': 0.14928187382496738, 'HR@5': 0.22754327153314632}","{'NDCG@5': 0.13500409060879215, 'HR@5': 0.20617713233790141}","{'NDCG@5': 0.10520430887357499, 'HR@5': 0.1648950667756882}"
"{'NDCG@5': 0.3221834084909259, 'HR@5': 0.43665999428081215}","{'NDCG@5': 0.2957966747473493, 'HR@5': 0.4133398247322298}","{'NDCG@5': 0.27626734994469454, 'HR@5': 0.38602866949323644}","{'NDCG@5': 0.2564648500619352, 'HR@5': 0.35939323220536756}","{'NDCG@5': 0.22324852646641333, 'HR@5': 0.31982803543512245}","{'NDCG@5': 0.1909421115639824, 'HR@5': 0.27579442918791686}","{'NDCG@5': 0.16140112125701328, 'HR@5': 0.24083146696528557}","{'NDCG@5': 0.15421475412967464, 'HR@5': 0.23205856194841623}","{'NDCG@5': 0.14235805097998705, 'HR@5': 0.21531328833435603}","{'NDCG@5': 0.11217453199835938, 'HR@5': 0.17300354319978195}"
"{'NDCG@5': 0.3219551133296104, 'HR@5': 0.44609665427509293}","{'NDCG@5': 0.29826709533965695, 'HR@5': 0.4179649464459591}","{'NDCG@5': 0.27699385422421946, 'HR@5': 0.38643246517262264}","{'NDCG@5': 0.25740118831667924, 'HR@5': 0.3642273712285381}","{'NDCG@5': 0.22534084589110798, 'HR@5': 0.3247785304846274}","{'NDCG@5': 0.19546112118714273, 'HR@5': 0.28393487642212634}","{'NDCG@5': 0.16545051675178957, 'HR@5': 0.2499300111982083}","{'NDCG@5': 0.15703256164071386, 'HR@5': 0.2363001983991243}","{'NDCG@5': 0.14284938879858214, 'HR@5': 0.21640417263244016}","{'NDCG@5': 0.1145613386691908, 'HR@5': 0.1776369582992641}"
"{'NDCG@5': 0.3253097901086282, 'HR@5': 0.4469545324563912}","{'NDCG@5': 0.3066507225273011, 'HR@5': 0.4223466407010711}","{'NDCG@5': 0.2832282016668205, 'HR@5': 0.3945083787603473}","{'NDCG@5': 0.25768155209999544, 'HR@5': 0.36589431571928654}","{'NDCG@5': 0.23098036282871626, 'HR@5': 0.3307712350182387}","{'NDCG@5': 0.19775564965236947, 'HR@5': 0.2843271871322087}","{'NDCG@5': 0.16935291015136297, 'HR@5': 0.2516097424412094}","{'NDCG@5': 0.16249624010563188, 'HR@5': 0.24382568242457411}","{'NDCG@5': 0.15039159299642071, 'HR@5': 0.2248585259425922}","{'NDCG@5': 0.11954613702603947, 'HR@5': 0.18308803488689016}"
