test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
"{'NDCG@5': 0.3038926370537177, 'HR@5': 0.41492708035458964}","{'NDCG@5': 0.2771149788757246, 'HR@5': 0.3882667964946446}","{'NDCG@5': 0.2507639336856125, 'HR@5': 0.35513830002018976}","{'NDCG@5': 0.23349625802423837, 'HR@5': 0.33605600933488916}","{'NDCG@5': 0.2029527848933288, 'HR@5': 0.2962480458572173}","{'NDCG@5': 0.17452379150186215, 'HR@5': 0.25961161239701847}","{'NDCG@5': 0.14638470974698634, 'HR@5': 0.22683370660694288}","{'NDCG@5': 0.13187828548553532, 'HR@5': 0.2068139837175891}","{'NDCG@5': 0.11452193012394275, 'HR@5': 0.1829276607349833}","{'NDCG@5': 0.08550431707128485, 'HR@5': 0.1407740528754429}"
"{'NDCG@5': 0.3048954195859969, 'HR@5': 0.4252216185301687}","{'NDCG@5': 0.2806441119086825, 'HR@5': 0.39483933787731257}","{'NDCG@5': 0.25591399586087776, 'HR@5': 0.3632142136079144}","{'NDCG@5': 0.23626748385752722, 'HR@5': 0.34305717619603265}","{'NDCG@5': 0.20618218289411513, 'HR@5': 0.30354351224596143}","{'NDCG@5': 0.18089833428811578, 'HR@5': 0.2682424480188309}","{'NDCG@5': 0.14965310835731213, 'HR@5': 0.2320828667413214}","{'NDCG@5': 0.13470890779782474, 'HR@5': 0.2133816788670726}","{'NDCG@5': 0.11624223750471413, 'HR@5': 0.18674575577827776}","{'NDCG@5': 0.08980053718411674, 'HR@5': 0.14990460615971654}"
"{'NDCG@5': 0.3092793827706136, 'HR@5': 0.42464969974263655}","{'NDCG@5': 0.28859188555213106, 'HR@5': 0.40555014605647516}","{'NDCG@5': 0.26294043337639506, 'HR@5': 0.37472239047042194}","{'NDCG@5': 0.24036460631031464, 'HR@5': 0.3482247041173529}","{'NDCG@5': 0.20755646519174906, 'HR@5': 0.3041948931735279}","{'NDCG@5': 0.18398356377136874, 'HR@5': 0.2727540211847783}","{'NDCG@5': 0.151947370725227, 'HR@5': 0.2363521836506159}","{'NDCG@5': 0.13762469710717787, 'HR@5': 0.21652869945953343}","{'NDCG@5': 0.11961256494613491, 'HR@5': 0.19001840867253017}","{'NDCG@5': 0.09143858425841146, 'HR@5': 0.15065412919051513}"
"{'NDCG@5': 0.3235792426291147, 'HR@5': 0.4483843294252216}","{'NDCG@5': 0.2961342988967574, 'HR@5': 0.41650438169425513}","{'NDCG@5': 0.27147274575231756, 'HR@5': 0.3858267716535433}","{'NDCG@5': 0.2566133234085171, 'HR@5': 0.36456076012668776}","{'NDCG@5': 0.22574912811914988, 'HR@5': 0.32686294945284}","{'NDCG@5': 0.19482196843425167, 'HR@5': 0.28638681836014124}","{'NDCG@5': 0.16671551044031455, 'HR@5': 0.2533594624860022}","{'NDCG@5': 0.15259382434952673, 'HR@5': 0.23424779366491072}","{'NDCG@5': 0.13724631839674048, 'HR@5': 0.21081339060475898}","{'NDCG@5': 0.10580488179555682, 'HR@5': 0.16687108203870266}"
"{'NDCG@5': 0.33145652132671194, 'HR@5': 0.4546754360880755}","{'NDCG@5': 0.3049731846329944, 'HR@5': 0.43111002921129504}","{'NDCG@5': 0.2846757525995426, 'HR@5': 0.3959216636381991}","{'NDCG@5': 0.26269351977450217, 'HR@5': 0.3712285380896816}","{'NDCG@5': 0.23496265703841518, 'HR@5': 0.3376758728504429}","{'NDCG@5': 0.2077729095645622, 'HR@5': 0.3022754021184778}","{'NDCG@5': 0.18064433923429624, 'HR@5': 0.26833706606942886}","{'NDCG@5': 0.164598402367016, 'HR@5': 0.24615174112334953}","{'NDCG@5': 0.145448600784071, 'HR@5': 0.22110861116792802}","{'NDCG@5': 0.11062900439395806, 'HR@5': 0.17293540474243663}"
"{'NDCG@5': 0.3342385414682475, 'HR@5': 0.4561052330569059}","{'NDCG@5': 0.30817021744941053, 'HR@5': 0.4286757546251217}","{'NDCG@5': 0.28650982024476546, 'HR@5': 0.40218049666868566}","{'NDCG@5': 0.26698772861159414, 'HR@5': 0.37689614935822635}","{'NDCG@5': 0.23898268763019503, 'HR@5': 0.34431995831162066}","{'NDCG@5': 0.20980597724406624, 'HR@5': 0.30649274225186346}","{'NDCG@5': 0.18284273783531496, 'HR@5': 0.27288633818589025}","{'NDCG@5': 0.16907783692153924, 'HR@5': 0.25347198467537796}","{'NDCG@5': 0.1482352792192364, 'HR@5': 0.22724483534465126}","{'NDCG@5': 0.11481889907075095, 'HR@5': 0.1789315889888253}"
"{'NDCG@5': 0.33672870206050365, 'HR@5': 0.45581927366313985}","{'NDCG@5': 0.3131438707286113, 'HR@5': 0.4315968841285297}","{'NDCG@5': 0.2928185467237384, 'HR@5': 0.40985261457702404}","{'NDCG@5': 0.269165021975105, 'HR@5': 0.3773962327054509}","{'NDCG@5': 0.2437405505901001, 'HR@5': 0.3461438249088067}","{'NDCG@5': 0.21550395032677744, 'HR@5': 0.3109062377402903}","{'NDCG@5': 0.18833178716260718, 'HR@5': 0.2769456886898096}","{'NDCG@5': 0.17279461718955008, 'HR@5': 0.25791886159950744}","{'NDCG@5': 0.15137492079539536, 'HR@5': 0.22854026044862616}","{'NDCG@5': 0.11884289276966177, 'HR@5': 0.18465521940583265}"
"{'NDCG@5': 0.33774474949209304, 'HR@5': 0.4601086645696311}","{'NDCG@5': 0.31519481983715625, 'HR@5': 0.436222005842259}","{'NDCG@5': 0.2956431689987118, 'HR@5': 0.4110640016151827}","{'NDCG@5': 0.27288513528006475, 'HR@5': 0.38056342723787295}","{'NDCG@5': 0.2483494272111839, 'HR@5': 0.3569567483064096}","{'NDCG@5': 0.21741921982832269, 'HR@5': 0.3125735582581404}","{'NDCG@5': 0.19298036551080433, 'HR@5': 0.28401455767077266}","{'NDCG@5': 0.17712788520034303, 'HR@5': 0.2616816036122323}","{'NDCG@5': 0.15581994311280986, 'HR@5': 0.23351742005863504}","{'NDCG@5': 0.11854601811017962, 'HR@5': 0.18254292722812757}"
"{'NDCG@5': 0.3485187240790976, 'HR@5': 0.4692593651701458}","{'NDCG@5': 0.32268629948457417, 'HR@5': 0.44644595910418694}","{'NDCG@5': 0.2969692512951676, 'HR@5': 0.4104583080961034}","{'NDCG@5': 0.2786676851859983, 'HR@5': 0.3875645940990165}","{'NDCG@5': 0.24909103293882873, 'HR@5': 0.3543512245961438}","{'NDCG@5': 0.2193850736859765, 'HR@5': 0.3162024323264025}","{'NDCG@5': 0.19354238745172955, 'HR@5': 0.2856243001119821}","{'NDCG@5': 0.17643757424237344, 'HR@5': 0.2627762194704796}","{'NDCG@5': 0.15403592410943745, 'HR@5': 0.2312674711938365}","{'NDCG@5': 0.11892685873029668, 'HR@5': 0.18547288089397657}"
"{'NDCG@5': 0.3401041858683789, 'HR@5': 0.46153846153846156}","{'NDCG@5': 0.3169556414717531, 'HR@5': 0.435491723466407}","{'NDCG@5': 0.2984113144098239, 'HR@5': 0.41308298001211385}","{'NDCG@5': 0.2754367104724137, 'HR@5': 0.38523087181196863}","{'NDCG@5': 0.2492268375027775, 'HR@5': 0.35448150078165713}","{'NDCG@5': 0.21953746007780864, 'HR@5': 0.31551588858375834}","{'NDCG@5': 0.19435684354295055, 'HR@5': 0.28408454647256437}","{'NDCG@5': 0.1785936181179036, 'HR@5': 0.26537593213381677}","{'NDCG@5': 0.1569608553320683, 'HR@5': 0.23215381468602986}","{'NDCG@5': 0.11936594467536953, 'HR@5': 0.1826110656854729}"
"{'NDCG@5': 0.3492317178074291, 'HR@5': 0.4712610809265084}","{'NDCG@5': 0.3208822509034425, 'HR@5': 0.44036027263875366}","{'NDCG@5': 0.3035186585196543, 'HR@5': 0.4163133454472037}","{'NDCG@5': 0.2822682751663228, 'HR@5': 0.38956492748791466}","{'NDCG@5': 0.2544772806209508, 'HR@5': 0.3578686816050026}","{'NDCG@5': 0.22576888074489493, 'HR@5': 0.32296979207532367}","{'NDCG@5': 0.20065255413475086, 'HR@5': 0.2920632698768197}","{'NDCG@5': 0.18011883702303938, 'HR@5': 0.2669494424300472}","{'NDCG@5': 0.15894920380386962, 'HR@5': 0.23672189268425717}","{'NDCG@5': 0.11967203664446029, 'HR@5': 0.18431452711910604}"
"{'NDCG@5': 0.34844208512714053, 'HR@5': 0.4681155275950815}","{'NDCG@5': 0.32281703047380256, 'HR@5': 0.44206426484907496}","{'NDCG@5': 0.30060132136200907, 'HR@5': 0.41590954976781747}","{'NDCG@5': 0.2872690818344673, 'HR@5': 0.3948991498583097}","{'NDCG@5': 0.25495554970655304, 'HR@5': 0.3579989577905159}","{'NDCG@5': 0.22807645235210677, 'HR@5': 0.3240486465280502}","{'NDCG@5': 0.20457833229776837, 'HR@5': 0.2955627099664054}","{'NDCG@5': 0.1810468531581188, 'HR@5': 0.265717999589519}","{'NDCG@5': 0.15920595094805337, 'HR@5': 0.2373355151019295}","{'NDCG@5': 0.11981129617376826, 'HR@5': 0.18336058871627145}"
"{'NDCG@5': 0.3505179312128123, 'HR@5': 0.47097512153274235}","{'NDCG@5': 0.3250147440049158, 'HR@5': 0.4408471275559883}","{'NDCG@5': 0.30291774840753083, 'HR@5': 0.4161114476075106}","{'NDCG@5': 0.28376620979498945, 'HR@5': 0.39189864977496247}","{'NDCG@5': 0.2561602430600352, 'HR@5': 0.35734757686294943}","{'NDCG@5': 0.22704389857043208, 'HR@5': 0.32326402510788543}","{'NDCG@5': 0.20109254215254285, 'HR@5': 0.2923432250839866}","{'NDCG@5': 0.1790638825681287, 'HR@5': 0.26428131627556956}","{'NDCG@5': 0.158374243669751, 'HR@5': 0.2361764505352151}","{'NDCG@5': 0.12054549018308998, 'HR@5': 0.18411011174707004}"
"{'NDCG@5': 0.35002166745862073, 'HR@5': 0.4718329997140406}","{'NDCG@5': 0.32192311091454506, 'HR@5': 0.43281402142161635}","{'NDCG@5': 0.300533820552616, 'HR@5': 0.415101958409045}","{'NDCG@5': 0.2807579228221563, 'HR@5': 0.39139856642773796}","{'NDCG@5': 0.2556319802435136, 'HR@5': 0.3560448150078166}","{'NDCG@5': 0.2219512340185817, 'HR@5': 0.3168889760690467}","{'NDCG@5': 0.1973982528941926, 'HR@5': 0.28765397536394177}","{'NDCG@5': 0.1781247624053482, 'HR@5': 0.26106588219196825}","{'NDCG@5': 0.15518480534033383, 'HR@5': 0.23181291334287857}","{'NDCG@5': 0.11595935109565206, 'HR@5': 0.17804578904333607}"
"{'NDCG@5': 0.3556155824420328, 'HR@5': 0.4735487560766371}","{'NDCG@5': 0.324383830059389, 'HR@5': 0.4388997078870497}","{'NDCG@5': 0.3038480670481317, 'HR@5': 0.41409246921057946}","{'NDCG@5': 0.28650474282775795, 'HR@5': 0.3930655109184864}","{'NDCG@5': 0.2596682651620141, 'HR@5': 0.36047420531526836}","{'NDCG@5': 0.2287703831984303, 'HR@5': 0.32542173401333857}","{'NDCG@5': 0.20171574013333896, 'HR@5': 0.2912933930571109}","{'NDCG@5': 0.1811560782690056, 'HR@5': 0.26482862420469316}","{'NDCG@5': 0.15831104837484952, 'HR@5': 0.23419922274493762}","{'NDCG@5': 0.12049952187505003, 'HR@5': 0.1839738348323794}"
"{'NDCG@5': 0.357299594832151, 'HR@5': 0.4735487560766371}","{'NDCG@5': 0.3278178679755734, 'HR@5': 0.4371957156767283}","{'NDCG@5': 0.307511678323962, 'HR@5': 0.418534221683828}","{'NDCG@5': 0.2839007239783114, 'HR@5': 0.3912318719786631}","{'NDCG@5': 0.2585722086680127, 'HR@5': 0.3593017196456488}","{'NDCG@5': 0.22953799606762315, 'HR@5': 0.3244409572381326}","{'NDCG@5': 0.20047325775325417, 'HR@5': 0.2909434490481523}","{'NDCG@5': 0.1795042044379437, 'HR@5': 0.26195525757679416}","{'NDCG@5': 0.1556777937235465, 'HR@5': 0.23133565146246676}","{'NDCG@5': 0.1161163632298819, 'HR@5': 0.17743254292722813}"
"{'NDCG@5': 0.36555464436029345, 'HR@5': 0.476408350014298}","{'NDCG@5': 0.3328736532406874, 'HR@5': 0.4388997078870497}","{'NDCG@5': 0.3131964432289022, 'HR@5': 0.4215626892792247}","{'NDCG@5': 0.2884953238066195, 'HR@5': 0.39173195532588767}","{'NDCG@5': 0.2618429895969666, 'HR@5': 0.3612558624283481}","{'NDCG@5': 0.2295921210047445, 'HR@5': 0.32395056885052964}","{'NDCG@5': 0.19904589677819182, 'HR@5': 0.2889137737961926}","{'NDCG@5': 0.18154995469508375, 'HR@5': 0.2631867004173223}","{'NDCG@5': 0.15749178960862392, 'HR@5': 0.23590372946069407}","{'NDCG@5': 0.11627155529091929, 'HR@5': 0.178454619787408}"
"{'NDCG@5': 0.3631134952464213, 'HR@5': 0.47812410637689445}","{'NDCG@5': 0.330237880845066, 'HR@5': 0.43938656280428434}","{'NDCG@5': 0.3126803491546986, 'HR@5': 0.4171209368059762}","{'NDCG@5': 0.29145468505334104, 'HR@5': 0.39373228871478577}","{'NDCG@5': 0.2646668895527727, 'HR@5': 0.36425221469515373}","{'NDCG@5': 0.23341991008814245, 'HR@5': 0.3285602196939976}","{'NDCG@5': 0.20241377329529686, 'HR@5': 0.2882138857782755}","{'NDCG@5': 0.1852562090407775, 'HR@5': 0.26770199083259216}","{'NDCG@5': 0.15472606601731603, 'HR@5': 0.22874480125451693}","{'NDCG@5': 0.11654814878787431, 'HR@5': 0.17613791223766695}"
"{'NDCG@5': 0.3672194704817214, 'HR@5': 0.4772662281955962}","{'NDCG@5': 0.33589064885514697, 'HR@5': 0.4415774099318403}","{'NDCG@5': 0.31506540518014514, 'HR@5': 0.4199475065616798}","{'NDCG@5': 0.29242588408152637, 'HR@5': 0.39689948324720786}","{'NDCG@5': 0.2589387791699032, 'HR@5': 0.35708702449192287}","{'NDCG@5': 0.23195059226659523, 'HR@5': 0.3266967438211063}","{'NDCG@5': 0.2009236056663046, 'HR@5': 0.28954367301231804}","{'NDCG@5': 0.1803959251998486, 'HR@5': 0.26510227816925497}","{'NDCG@5': 0.15606596435896267, 'HR@5': 0.23297197790959295}","{'NDCG@5': 0.11622777552754648, 'HR@5': 0.17804578904333607}"
"{'NDCG@5': 0.36605850968410975, 'HR@5': 0.4735487560766371}","{'NDCG@5': 0.3371846547371522, 'HR@5': 0.439873417721519}","{'NDCG@5': 0.3198567257019467, 'HR@5': 0.4258025439127801}","{'NDCG@5': 0.2930082741384199, 'HR@5': 0.3948991498583097}","{'NDCG@5': 0.263711074914014, 'HR@5': 0.36164669098488794}","{'NDCG@5': 0.2373994285404148, 'HR@5': 0.33071792859945076}","{'NDCG@5': 0.20652764957637892, 'HR@5': 0.29381298992161253}","{'NDCG@5': 0.188891789533988, 'HR@5': 0.2738592050352329}","{'NDCG@5': 0.1604474037769961, 'HR@5': 0.23583554919206381}","{'NDCG@5': 0.1231118683084452, 'HR@5': 0.1837012810029981}"
"{'NDCG@5': 0.36820161046081584, 'HR@5': 0.4724049185015728}","{'NDCG@5': 0.33550603882531427, 'HR@5': 0.44036027263875366}","{'NDCG@5': 0.3154657162903081, 'HR@5': 0.4149000605693519}","{'NDCG@5': 0.29383497086021726, 'HR@5': 0.39173195532588767}","{'NDCG@5': 0.2618674950937758, 'HR@5': 0.3568264721208963}","{'NDCG@5': 0.23176111229311566, 'HR@5': 0.32091016084739116}","{'NDCG@5': 0.20464422196409787, 'HR@5': 0.2923432250839866}","{'NDCG@5': 0.1849735410938785, 'HR@5': 0.26592324006294044}","{'NDCG@5': 0.1571317720700946, 'HR@5': 0.23344923979000476}","{'NDCG@5': 0.12155017249686449, 'HR@5': 0.18165712728263833}"
