test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
"{'NDCG@5': 0.29237028623082933, 'HR@5': 0.386045181584215}","{'NDCG@5': 0.26767925920137664, 'HR@5': 0.3575949367088608}","{'NDCG@5': 0.24083906602894256, 'HR@5': 0.3286896830203917}","{'NDCG@5': 0.22168077873439535, 'HR@5': 0.307051175195866}","{'NDCG@5': 0.19418821106581408, 'HR@5': 0.2713652944241793}","{'NDCG@5': 0.16518350922382188, 'HR@5': 0.23793644566496666}","{'NDCG@5': 0.13408313036675631, 'HR@5': 0.19946808510638298}","{'NDCG@5': 0.12300495113584438, 'HR@5': 0.18334815625641376}","{'NDCG@5': 0.10277850848198634, 'HR@5': 0.15531465193972865}","{'NDCG@5': 0.08025563203909744, 'HR@5': 0.12666939220496048}"
"{'NDCG@5': 0.3185383162436373, 'HR@5': 0.42779525307406346}","{'NDCG@5': 0.29317566183826543, 'HR@5': 0.40019474196689386}","{'NDCG@5': 0.2653808135841461, 'HR@5': 0.3706844336765597}","{'NDCG@5': 0.24686564614558312, 'HR@5': 0.35122520420070014}","{'NDCG@5': 0.2163825499876124, 'HR@5': 0.3116206357477853}","{'NDCG@5': 0.18392195485735519, 'HR@5': 0.2706943899568458}","{'NDCG@5': 0.15192053542628758, 'HR@5': 0.23446248600223965}","{'NDCG@5': 0.1380737053243313, 'HR@5': 0.214955189163303}","{'NDCG@5': 0.1180140269873166, 'HR@5': 0.18729119792731982}","{'NDCG@5': 0.09032862666275891, 'HR@5': 0.14935949850095395}"
"{'NDCG@5': 0.3220737879511822, 'HR@5': 0.43465827852444955}","{'NDCG@5': 0.2989810225942334, 'HR@5': 0.41090555014605645}","{'NDCG@5': 0.2688899214851509, 'HR@5': 0.37552998182919445}","{'NDCG@5': 0.2505947558799917, 'HR@5': 0.3577262877146191}","{'NDCG@5': 0.2185274768997371, 'HR@5': 0.3157894736842105}","{'NDCG@5': 0.18598297541272213, 'HR@5': 0.27530404080031384}","{'NDCG@5': 0.15519112327628792, 'HR@5': 0.240971444568869}","{'NDCG@5': 0.14032200234361408, 'HR@5': 0.22138605733050556}","{'NDCG@5': 0.12179930526527759, 'HR@5': 0.1956773709688416}","{'NDCG@5': 0.09182895632233404, 'HR@5': 0.15276642136822022}"
"{'NDCG@5': 0.32369979209366945, 'HR@5': 0.4409493851873034}","{'NDCG@5': 0.2986337364423335, 'HR@5': 0.4118792599805258}","{'NDCG@5': 0.26985691072788054, 'HR@5': 0.3795679386230567}","{'NDCG@5': 0.2506150807068457, 'HR@5': 0.3562260376729455}","{'NDCG@5': 0.21915129688359858, 'HR@5': 0.3170922355393434}","{'NDCG@5': 0.18750195427332952, 'HR@5': 0.27755982738328755}","{'NDCG@5': 0.15722367414106453, 'HR@5': 0.24531075027995522}","{'NDCG@5': 0.1411624363744503, 'HR@5': 0.2233700485735787}","{'NDCG@5': 0.12223135741964984, 'HR@5': 0.19581373150610212}","{'NDCG@5': 0.09266903638010696, 'HR@5': 0.15521940583265195}"
"{'NDCG@5': 0.3250757720810654, 'HR@5': 0.4443808979124964}","{'NDCG@5': 0.2978648097273218, 'HR@5': 0.4104186952288218}","{'NDCG@5': 0.270245804138275, 'HR@5': 0.37876034726428426}","{'NDCG@5': 0.25345972305721537, 'HR@5': 0.3613935655942657}","{'NDCG@5': 0.2195850422030229, 'HR@5': 0.31735278791036997}","{'NDCG@5': 0.1894298084607314, 'HR@5': 0.28050215770890546}","{'NDCG@5': 0.15762109582481493, 'HR@5': 0.24545072788353864}","{'NDCG@5': 0.14151874564893605, 'HR@5': 0.22371211602928098}","{'NDCG@5': 0.12288137349622216, 'HR@5': 0.19676825526692576}","{'NDCG@5': 0.09244516030208416, 'HR@5': 0.15474243663123466}"
"{'NDCG@5': 0.3257638572227241, 'HR@5': 0.44380897912496425}","{'NDCG@5': 0.2977967373337457, 'HR@5': 0.4096884128529698}","{'NDCG@5': 0.2719297377594965, 'HR@5': 0.381788814859681}","{'NDCG@5': 0.2543400764102994, 'HR@5': 0.36256042673778965}","{'NDCG@5': 0.2197765895887187, 'HR@5': 0.3180041688379364}","{'NDCG@5': 0.18967598991479792, 'HR@5': 0.28079639074146723}","{'NDCG@5': 0.15805958918091872, 'HR@5': 0.24538073908174693}","{'NDCG@5': 0.14200890692681445, 'HR@5': 0.22405418348498324}","{'NDCG@5': 0.1230804908530398, 'HR@5': 0.19676825526692576}","{'NDCG@5': 0.09312958036916799, 'HR@5': 0.15576451349141454}"
"{'NDCG@5': 0.32521700225469885, 'HR@5': 0.4423791821561338}","{'NDCG@5': 0.2978583327401755, 'HR@5': 0.4079844206426485}","{'NDCG@5': 0.27235294971876717, 'HR@5': 0.381788814859681}","{'NDCG@5': 0.25197851042451597, 'HR@5': 0.35722620436739455}","{'NDCG@5': 0.21991123975359317, 'HR@5': 0.3180041688379364}","{'NDCG@5': 0.1879385423641401, 'HR@5': 0.27805021577089056}","{'NDCG@5': 0.1576027996030484, 'HR@5': 0.24510078387458006}","{'NDCG@5': 0.14274618386756702, 'HR@5': 0.22576452076349457}","{'NDCG@5': 0.12287710484990753, 'HR@5': 0.19581373150610212}","{'NDCG@5': 0.0921211485908164, 'HR@5': 0.15337966748432816}"
"{'NDCG@5': 0.3267858822134841, 'HR@5': 0.4432370603374321}","{'NDCG@5': 0.29667188587989834, 'HR@5': 0.40530671859785783}","{'NDCG@5': 0.27425589371302084, 'HR@5': 0.3819907126993741}","{'NDCG@5': 0.25234684185841705, 'HR@5': 0.35822637106184363}","{'NDCG@5': 0.21920953175031654, 'HR@5': 0.3167014069828035}","{'NDCG@5': 0.188636833980966, 'HR@5': 0.27844252648097295}","{'NDCG@5': 0.15716548244510428, 'HR@5': 0.2437010078387458}","{'NDCG@5': 0.14173708597472776, 'HR@5': 0.22302798111787644}","{'NDCG@5': 0.1233012068702787, 'HR@5': 0.1955410104315811}","{'NDCG@5': 0.09263768961564366, 'HR@5': 0.15467429817388934}"
"{'NDCG@5': 0.32672470609001963, 'HR@5': 0.4423791821561338}","{'NDCG@5': 0.29807840765366134, 'HR@5': 0.4070107108081792}","{'NDCG@5': 0.2746907926318142, 'HR@5': 0.38158691701998787}","{'NDCG@5': 0.2528048025027063, 'HR@5': 0.35855975995999334}","{'NDCG@5': 0.21862446251596654, 'HR@5': 0.3160500260552371}","{'NDCG@5': 0.18791872485515054, 'HR@5': 0.2766771282856022}","{'NDCG@5': 0.15652759036498487, 'HR@5': 0.2415313549832027}","{'NDCG@5': 0.14126007751050568, 'HR@5': 0.22200177875076965}","{'NDCG@5': 0.12142905106518946, 'HR@5': 0.1929501602236313}","{'NDCG@5': 0.09241765807881876, 'HR@5': 0.1539929136004361}"
"{'NDCG@5': 0.3287121924485216, 'HR@5': 0.4435230197311982}","{'NDCG@5': 0.30132672425042717, 'HR@5': 0.41090555014605645}","{'NDCG@5': 0.2749272431116602, 'HR@5': 0.3819907126993741}","{'NDCG@5': 0.2522491811108132, 'HR@5': 0.35822637106184363}","{'NDCG@5': 0.21959505823246087, 'HR@5': 0.3174830640958833}","{'NDCG@5': 0.1883727384170509, 'HR@5': 0.27716751667320516}","{'NDCG@5': 0.15717638004911563, 'HR@5': 0.24251119820828668}","{'NDCG@5': 0.14249117037552958, 'HR@5': 0.22384894301156189}","{'NDCG@5': 0.12203041905692635, 'HR@5': 0.19370014317856413}","{'NDCG@5': 0.0915190502722007, 'HR@5': 0.1529708367402562}"
