test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
"{'NDCG@5': 0.376895482140578, 'HR@5': 0.4972833857592222}","{'NDCG@5': 0.3450515902678063, 'HR@5': 0.4552093476144109}","{'NDCG@5': 0.3367647234302939, 'HR@5': 0.44720371492025035}","{'NDCG@5': 0.31513954834681746, 'HR@5': 0.4195699283213869}","{'NDCG@5': 0.2907384097041872, 'HR@5': 0.3879624804585722}","{'NDCG@5': 0.27807816299003524, 'HR@5': 0.37151824244801884}","{'NDCG@5': 0.2624413619797253, 'HR@5': 0.3498040313549832}","{'NDCG@5': 0.2594986695494217, 'HR@5': 0.34370937948963537}","{'NDCG@5': 0.2509116887193691, 'HR@5': 0.3325833503784005}","{'NDCG@5': 0.2223750742278239, 'HR@5': 0.2957890433360589}"
"{'NDCG@5': 0.41213399522429056, 'HR@5': 0.5376036602802402}","{'NDCG@5': 0.383958612893009, 'HR@5': 0.5}","{'NDCG@5': 0.3677590806953868, 'HR@5': 0.48576620230163536}","{'NDCG@5': 0.34783821933376663, 'HR@5': 0.4620770128354726}","{'NDCG@5': 0.3167266320895347, 'HR@5': 0.42339760291818657}","{'NDCG@5': 0.2974489921988228, 'HR@5': 0.39672420557081206}","{'NDCG@5': 0.28053286004929856, 'HR@5': 0.37569988801791715}","{'NDCG@5': 0.277066715059657, 'HR@5': 0.37141684340151876}","{'NDCG@5': 0.2650962772728649, 'HR@5': 0.35426467580282267}","{'NDCG@5': 0.2313017324344183, 'HR@5': 0.31112019623875714}"
"{'NDCG@5': 0.4181159155849438, 'HR@5': 0.5493279954246497}","{'NDCG@5': 0.38749696188201593, 'HR@5': 0.5070593962999026}","{'NDCG@5': 0.36965017008893003, 'HR@5': 0.488592772057339}","{'NDCG@5': 0.35202911014164845, 'HR@5': 0.46824470745124186}","{'NDCG@5': 0.32123940832606235, 'HR@5': 0.4282178217821782}","{'NDCG@5': 0.3020898966068878, 'HR@5': 0.4035896429972538}","{'NDCG@5': 0.2835852503531591, 'HR@5': 0.3813689809630459}","{'NDCG@5': 0.27957575229879256, 'HR@5': 0.37435862352055826}","{'NDCG@5': 0.26542137854294234, 'HR@5': 0.3576055089657053}","{'NDCG@5': 0.2301099839869727, 'HR@5': 0.3119378577269011}"
"{'NDCG@5': 0.4187318878525792, 'HR@5': 0.5456105233056906}","{'NDCG@5': 0.3863051622115318, 'HR@5': 0.5092502434274586}","{'NDCG@5': 0.37093325828631957, 'HR@5': 0.4942459115687462}","{'NDCG@5': 0.3511456196991688, 'HR@5': 0.468078013002167}","{'NDCG@5': 0.3229849998557147, 'HR@5': 0.43447107868681606}","{'NDCG@5': 0.30339973257544167, 'HR@5': 0.4067281286779129}","{'NDCG@5': 0.28492799507515243, 'HR@5': 0.38311870100783874}","{'NDCG@5': 0.28183273393173197, 'HR@5': 0.37723199014845726}","{'NDCG@5': 0.26599690084785443, 'HR@5': 0.3584236721892684}","{'NDCG@5': 0.22898968134265632, 'HR@5': 0.30996184246388664}"
"{'NDCG@5': 0.41688656995988826, 'HR@5': 0.5427509293680297}","{'NDCG@5': 0.38645328851174393, 'HR@5': 0.5102239532619279}","{'NDCG@5': 0.37046522407574967, 'HR@5': 0.49464970724813245}","{'NDCG@5': 0.35211673739718613, 'HR@5': 0.46924487414569094}","{'NDCG@5': 0.32419767205826105, 'HR@5': 0.4349921834288692}","{'NDCG@5': 0.30356475320691034, 'HR@5': 0.4075127500980777}","{'NDCG@5': 0.2877084993145873, 'HR@5': 0.38668812989921614}","{'NDCG@5': 0.2818274210869472, 'HR@5': 0.3777108845864404}","{'NDCG@5': 0.2649406942956521, 'HR@5': 0.35692370627940273}","{'NDCG@5': 0.22768451847223933, 'HR@5': 0.3076451349141455}"
"{'NDCG@5': 0.4171520492798654, 'HR@5': 0.5447526451243924}","{'NDCG@5': 0.3844819511806804, 'HR@5': 0.5068159688412853}","{'NDCG@5': 0.36792656200371693, 'HR@5': 0.4912174439733495}","{'NDCG@5': 0.3507848902702087, 'HR@5': 0.46774462410401735}","{'NDCG@5': 0.3227591400390802, 'HR@5': 0.43108389786347057}","{'NDCG@5': 0.30374956834291067, 'HR@5': 0.40761082777559826}","{'NDCG@5': 0.28555671322306253, 'HR@5': 0.38458846584546474}","{'NDCG@5': 0.28119591098007196, 'HR@5': 0.37709516316617636}","{'NDCG@5': 0.26396419436503726, 'HR@5': 0.3568555260107725}","{'NDCG@5': 0.22601535326496117, 'HR@5': 0.30396565821749794}"
"{'NDCG@5': 0.41674308891841555, 'HR@5': 0.5427509293680297}","{'NDCG@5': 0.3853927776283015, 'HR@5': 0.5068159688412853}","{'NDCG@5': 0.36591309159043767, 'HR@5': 0.4861699979810216}","{'NDCG@5': 0.3498022166266897, 'HR@5': 0.46857809634939157}","{'NDCG@5': 0.3222386070906679, 'HR@5': 0.4303022407503908}","{'NDCG@5': 0.3045227558830073, 'HR@5': 0.4077089054531189}","{'NDCG@5': 0.28603363485468036, 'HR@5': 0.38360862262038076}","{'NDCG@5': 0.28166462447154916, 'HR@5': 0.3774372306218786}","{'NDCG@5': 0.26332167446245563, 'HR@5': 0.35610554305583964}","{'NDCG@5': 0.2253342190372909, 'HR@5': 0.3019896429544835}"
"{'NDCG@5': 0.41651948636788644, 'HR@5': 0.5444666857306263}","{'NDCG@5': 0.38507236933635347, 'HR@5': 0.5077896786757546}","{'NDCG@5': 0.3650608694450508, 'HR@5': 0.4861699979810216}","{'NDCG@5': 0.35227424638451715, 'HR@5': 0.4707451241873646}","{'NDCG@5': 0.32062620975776623, 'HR@5': 0.4304325169359041}","{'NDCG@5': 0.30375725859453245, 'HR@5': 0.4054531188701452}","{'NDCG@5': 0.2844473338089052, 'HR@5': 0.3796192609182531}","{'NDCG@5': 0.28046231436981084, 'HR@5': 0.37463227748512007}","{'NDCG@5': 0.262842880222975, 'HR@5': 0.3534465125792596}","{'NDCG@5': 0.22420842535258673, 'HR@5': 0.30035431997819567}"
"{'NDCG@5': 0.4167415461804874, 'HR@5': 0.5416070917929654}","{'NDCG@5': 0.3828886096769321, 'HR@5': 0.5038948393378773}","{'NDCG@5': 0.364030531318291, 'HR@5': 0.48677569150010097}","{'NDCG@5': 0.3495253624968847, 'HR@5': 0.46641106851141856}","{'NDCG@5': 0.3194683974197587, 'HR@5': 0.4284783741532048}","{'NDCG@5': 0.30249544205686546, 'HR@5': 0.40309925460965085}","{'NDCG@5': 0.2839925091739889, 'HR@5': 0.38003919372900336}","{'NDCG@5': 0.28064609963062803, 'HR@5': 0.3749059314496819}","{'NDCG@5': 0.2618609443290301, 'HR@5': 0.3516056453262426}","{'NDCG@5': 0.223799076079505, 'HR@5': 0.2989234123739439}"
"{'NDCG@5': 0.41261230266149296, 'HR@5': 0.5393194166428367}","{'NDCG@5': 0.3827758040586836, 'HR@5': 0.5053554040895814}","{'NDCG@5': 0.360188668203084, 'HR@5': 0.4823339390268524}","{'NDCG@5': 0.34865415672894345, 'HR@5': 0.4665777629604934}","{'NDCG@5': 0.32010702135000413, 'HR@5': 0.4291297550807712}","{'NDCG@5': 0.30112323837480204, 'HR@5': 0.39986269125147117}","{'NDCG@5': 0.282964498062686, 'HR@5': 0.3780795072788354}","{'NDCG@5': 0.2795962745324151, 'HR@5': 0.37346924813573235}","{'NDCG@5': 0.2609610214513228, 'HR@5': 0.3501056794163769}","{'NDCG@5': 0.22342643511413393, 'HR@5': 0.297696920141728}"
