test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
"{'NDCG@5': 0.2809224120111463, 'HR@5': 0.3700314555333143}","{'NDCG@5': 0.2663145931795575, 'HR@5': 0.35613437195715675}","{'NDCG@5': 0.23854446158257928, 'HR@5': 0.3234403391883707}","{'NDCG@5': 0.21551060561314095, 'HR@5': 0.29671611935322556}","{'NDCG@5': 0.18552023162550796, 'HR@5': 0.25625325690463785}","{'NDCG@5': 0.15591196741334074, 'HR@5': 0.22155747351902708}","{'NDCG@5': 0.1262893516130179, 'HR@5': 0.18463045912653975}","{'NDCG@5': 0.11264033373504562, 'HR@5': 0.16747622631182868}","{'NDCG@5': 0.09882642866694134, 'HR@5': 0.14986023044930796}","{'NDCG@5': 0.07087905522973872, 'HR@5': 0.11201962387571546}"
"{'NDCG@5': 0.32195685289961584, 'HR@5': 0.4332284815556191}","{'NDCG@5': 0.29788018292842494, 'HR@5': 0.40530671859785783}","{'NDCG@5': 0.26664870765278215, 'HR@5': 0.3700787401574803}","{'NDCG@5': 0.24460892678212026, 'HR@5': 0.3453908984830805}","{'NDCG@5': 0.21449847054823257, 'HR@5': 0.30966649296508597}","{'NDCG@5': 0.18463560572869173, 'HR@5': 0.2715770890545312}","{'NDCG@5': 0.15206673583598482, 'HR@5': 0.23460246360582307}","{'NDCG@5': 0.13783522506460522, 'HR@5': 0.21529725661900526}","{'NDCG@5': 0.11729139279805809, 'HR@5': 0.1863366741664962}","{'NDCG@5': 0.08776543158737837, 'HR@5': 0.1442491142000545}"
"{'NDCG@5': 0.32633029171120925, 'HR@5': 0.44180726336860165}","{'NDCG@5': 0.2999122867531536, 'HR@5': 0.4104186952288218}","{'NDCG@5': 0.2722536096119819, 'HR@5': 0.38158691701998787}","{'NDCG@5': 0.25036393327273104, 'HR@5': 0.3570595099183197}","{'NDCG@5': 0.21811336350519808, 'HR@5': 0.3170922355393434}","{'NDCG@5': 0.18847890623782335, 'HR@5': 0.27942330325617887}","{'NDCG@5': 0.15758326939274084, 'HR@5': 0.24538073908174693}","{'NDCG@5': 0.14135123617924236, 'HR@5': 0.2230963946090169}","{'NDCG@5': 0.12216735674239512, 'HR@5': 0.19608645258062316}","{'NDCG@5': 0.09100728024052036, 'HR@5': 0.1511310983919324}"
"{'NDCG@5': 0.3288465517871381, 'HR@5': 0.446382613668859}","{'NDCG@5': 0.3013751762507375, 'HR@5': 0.4126095423563778}","{'NDCG@5': 0.2726378550644975, 'HR@5': 0.381788814859681}","{'NDCG@5': 0.25124350797085127, 'HR@5': 0.3570595099183197}","{'NDCG@5': 0.2199352398202764, 'HR@5': 0.31891610213652943}","{'NDCG@5': 0.190422489874766, 'HR@5': 0.2817771675166732}","{'NDCG@5': 0.15889432108787496, 'HR@5': 0.24671052631578946}","{'NDCG@5': 0.1425010121699136, 'HR@5': 0.2255592802900732}","{'NDCG@5': 0.12205040510866944, 'HR@5': 0.19635917365514421}","{'NDCG@5': 0.09107382563063218, 'HR@5': 0.1516080675933497}"
"{'NDCG@5': 0.33136275953833155, 'HR@5': 0.44895624821275376}","{'NDCG@5': 0.3017726164420418, 'HR@5': 0.4118792599805258}","{'NDCG@5': 0.27389885924220053, 'HR@5': 0.3840096910963053}","{'NDCG@5': 0.2538807698251282, 'HR@5': 0.36039339889981664}","{'NDCG@5': 0.2213733148626025, 'HR@5': 0.32126107347576865}","{'NDCG@5': 0.19182270512962268, 'HR@5': 0.28413103177716753}","{'NDCG@5': 0.16005308511791458, 'HR@5': 0.24881019036954088}","{'NDCG@5': 0.14324734697107383, 'HR@5': 0.22651706916603953}","{'NDCG@5': 0.12331359119392331, 'HR@5': 0.1975182382218586}","{'NDCG@5': 0.0921786280031078, 'HR@5': 0.15440174434450804}"
"{'NDCG@5': 0.3296014073438277, 'HR@5': 0.4469545324563912}","{'NDCG@5': 0.30370748948092724, 'HR@5': 0.41455696202531644}","{'NDCG@5': 0.27630465664318266, 'HR@5': 0.3856248738138502}","{'NDCG@5': 0.25442546288333134, 'HR@5': 0.35905984330721785}","{'NDCG@5': 0.22286554633377573, 'HR@5': 0.3229546638874414}","{'NDCG@5': 0.19211921418615352, 'HR@5': 0.28275794429187917}","{'NDCG@5': 0.15964615440002317, 'HR@5': 0.24692049272116462}","{'NDCG@5': 0.14378045902479608, 'HR@5': 0.22706437709516317}","{'NDCG@5': 0.12380789023390991, 'HR@5': 0.19792731983364015}","{'NDCG@5': 0.09241177518224, 'HR@5': 0.15446988280185336}"
"{'NDCG@5': 0.329440708414502, 'HR@5': 0.446382613668859}","{'NDCG@5': 0.3046512190271729, 'HR@5': 0.41382667964946446}","{'NDCG@5': 0.2754962371999618, 'HR@5': 0.3819907126993741}","{'NDCG@5': 0.25483027764623506, 'HR@5': 0.36006001000166693}","{'NDCG@5': 0.22368695615126358, 'HR@5': 0.32282438770192806}","{'NDCG@5': 0.193034447914845, 'HR@5': 0.2845233424872499}","{'NDCG@5': 0.15976271284788668, 'HR@5': 0.24601063829787234}","{'NDCG@5': 0.14461555334084453, 'HR@5': 0.22822740644455086}","{'NDCG@5': 0.12400771218823202, 'HR@5': 0.1978591395650099}","{'NDCG@5': 0.09348106832467759, 'HR@5': 0.15658217497955845}"
"{'NDCG@5': 0.3312535236214402, 'HR@5': 0.4472404918501573}","{'NDCG@5': 0.3032982382681561, 'HR@5': 0.4104186952288218}","{'NDCG@5': 0.2781051415467284, 'HR@5': 0.38380779325661213}","{'NDCG@5': 0.2534361211932788, 'HR@5': 0.3565594265710952}","{'NDCG@5': 0.2235889381113628, 'HR@5': 0.32073996873371546}","{'NDCG@5': 0.19290099818830314, 'HR@5': 0.282561788936838}","{'NDCG@5': 0.16041771150740525, 'HR@5': 0.24657054871220604}","{'NDCG@5': 0.1440814051887823, 'HR@5': 0.22549086679893274}","{'NDCG@5': 0.12309844526016335, 'HR@5': 0.19526828935706006}","{'NDCG@5': 0.0940242310635146, 'HR@5': 0.15576451349141454}"
"{'NDCG@5': 0.33313459237911913, 'HR@5': 0.4475264512439234}","{'NDCG@5': 0.3059590458410502, 'HR@5': 0.4116358325219085}","{'NDCG@5': 0.28058614606853083, 'HR@5': 0.3872400565313951}","{'NDCG@5': 0.2556188391094256, 'HR@5': 0.3592265377562927}","{'NDCG@5': 0.2244615259102007, 'HR@5': 0.32217300677436167}","{'NDCG@5': 0.19401964442365568, 'HR@5': 0.2843271871322087}","{'NDCG@5': 0.16087792215337088, 'HR@5': 0.24503079507278835}","{'NDCG@5': 0.14460014479623273, 'HR@5': 0.22644865567489908}","{'NDCG@5': 0.12421477611670048, 'HR@5': 0.19710915661007705}","{'NDCG@5': 0.09431374849855809, 'HR@5': 0.15590079040610522}"
"{'NDCG@5': 0.33487018028781174, 'HR@5': 0.4466685730626251}","{'NDCG@5': 0.3081901209073756, 'HR@5': 0.41285296981499514}","{'NDCG@5': 0.2806826395638231, 'HR@5': 0.38602866949323644}","{'NDCG@5': 0.25603119967887844, 'HR@5': 0.3570595099183197}","{'NDCG@5': 0.22559596017305258, 'HR@5': 0.32204273058884836}","{'NDCG@5': 0.19316072489642241, 'HR@5': 0.28079639074146723}","{'NDCG@5': 0.16063879639292838, 'HR@5': 0.24405095184770437}","{'NDCG@5': 0.14452231645867428, 'HR@5': 0.2254224533077923}","{'NDCG@5': 0.12517711787142066, 'HR@5': 0.19758641849048886}","{'NDCG@5': 0.09361563294166726, 'HR@5': 0.15440174434450804}"
